Relative Intensity Antonio_0.08_1.5_lampadina	Position (m) Antonio_0.08_1.5_lampadina
0.057724	-0.14022502
0.0625305	-0.13985025
0.0667877	-0.1395741
0.0690918	-0.1394163
0.0733032	-0.1391796
0.0753784	-0.13904152
0.0766296	-0.1389429
0.0831757	-0.13864703
0.0903168	-0.13843005
0.0916901	-0.13833143
0.0940399	-0.1382328
0.0993805	-0.13789748
0.1018372	-0.13770023
0.1029205	-0.13750298
0.1009369	-0.13716765
0.0942078	-0.1368915
0.0877533	-0.13669425
0.081604	-0.13651672
0.0774384	-0.13635892
0.0712891	-0.13612222
0.0667114	-0.13598415
0.0543823	-0.13558965
0.0445862	-0.13527405
0.0395355	-0.13503735
0.0379486	-0.13493872
0.0357971	-0.13472175
0.036087	-0.13442587
0.0362396	-0.1342878
0.040741	-0.1338933
0.0462189	-0.13359742
0.0547333	-0.133341
0.0549774	-0.13332127
0.0548706	-0.13332127
0.0549316	-0.133341
0.0559998	-0.13343962
0.0558929	-0.13343962
0.056015	-0.13343962
0.0560455	-0.13343962
0.0558929	-0.13343962
0.056427	-0.13343962
0.0560303	-0.13343962
0.0561981	-0.13343962
0.0556946	-0.133341
0.0559998	-0.133341
0.0558167	-0.13332127
0.0558472	-0.13332127
0.0678253	-0.13306485
0.098938	-0.13257172
0.123642	-0.13221667
0.140213	-0.13188135
0.1475677	-0.13162492
0.1493225	-0.13142767
0.149353	-0.13119097
0.1452484	-0.13093455
0.1420898	-0.13079647
0.1335907	-0.13046115
0.1238251	-0.13016527
0.1133575	-0.1298694
0.104248	-0.12957352
0.0933685	-0.12929737
0.0850372	-0.12906067
0.0784302	-0.12888315
0.0707245	-0.12862672
0.0652618	-0.12846892
0.0609436	-0.12831112
0.055542	-0.12811387
0.0513306	-0.12793635
0.0462952	-0.12771937
0.0414276	-0.1274235
0.0394592	-0.12728542
0.0387115	-0.12700927
0.0392456	-0.12691065
0.0399475	-0.12681202
0.039566	-0.1267134
0.040451	-0.12659505
0.0404816	-0.12645697
0.0414124	-0.1263189
0.0436554	-0.12620055
0.0501099	-0.12594412
0.0601654	-0.12566797
0.0898895	-0.12523402
0.1130219	-0.12491842
0.1266479	-0.12472117
0.1444092	-0.12438585
0.1493988	-0.12424777
0.1559601	-0.12401107
0.1567993	-0.12397162
0.1590118	-0.12383355
0.1603394	-0.12375465
0.1613464	-0.12367575
0.1617584	-0.12357712
0.1630402	-0.12343905
0.1644745	-0.12322207
0.1669617	-0.12298537
0.169281	-0.12270922
0.1693268	-0.1224528
0.1694336	-0.12247252
0.169342	-0.12247252
0.1689453	-0.12257115
0.1631775	-0.12259087
0.1660767	-0.12259087
0.1669617	-0.12259087
0.1669769	-0.12259087
