Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.05135	-0.060556
0.049	-0.060753
0.04768	-0.061009
0.04877	-0.061207
0.05075	-0.061404
0.05237	-0.061562
0.05502	-0.061739
0.05901	-0.061976
0.06596	-0.062311
0.07109	-0.062509
0.07304	-0.062587
0.0752	-0.062726
0.07588	-0.062824
0.07768	-0.063021
0.07867	-0.063219
0.07791	-0.063416
0.0751	-0.063712
0.07198	-0.06387
0.07095	-0.063909
0.06964	-0.063948
0.06909	-0.063968
0.06699	-0.064106
0.06316	-0.064244
0.05959	-0.064363
0.05632	-0.064501
0.05444	-0.06456
0.05247	-0.064639
0.05147	-0.064718
0.0491	-0.064816
0.04718	-0.064895
0.0457	-0.065073
0.0439	-0.065191
0.04382	-0.06529
0.04387	-0.065369
0.04437	-0.065369
0.04367	-0.065369
0.04416	-0.065388
0.0442	-0.065428
0.04573	-0.065605
0.04837	-0.065743
0.05086	-0.065822
0.05389	-0.06596
0.05898	-0.066138
0.0632	-0.066256
0.06647	-0.066335
0.06697	-0.066375
0.06783	-0.066394
0.06796	-0.066394
0.06973	-0.066493
0.07452	-0.066611
0.07861	-0.066769
0.08174	-0.066947
0.08401	-0.067065
0.0843	-0.067262
0.08234	-0.06746
0.08148	-0.067519
0.07698	-0.067676
0.07083	-0.067874
0.0641	-0.068051
0.0575	-0.068268
0.05144	-0.068465
0.04843	-0.068584
0.04726	-0.068663
0.047	-0.068663
0.04681	-0.068663
0.0471	-0.068663
0.04726	-0.068663
0.04744	-0.068663
0.04781	-0.068663
0.04758	-0.068663
0.04758	-0.068663
0.04758	-0.068663
0.04744	-0.068663
0.0481	-0.068663
0.0473	-0.068663
0.04742	-0.068663
0.04762	-0.068663
0.04756	-0.068663
0.04715	-0.068663
0.04745	-0.068663
0.04749	-0.068663
0.04713	-0.068663
0.04724	-0.068663
0.04733	-0.068663
0.04559	-0.068801
0.04553	-0.068978
0.04568	-0.069057
0.04646	-0.069156
0.04863	-0.069274
0.04974	-0.069333
0.05084	-0.069393
0.05222	-0.069412
0.05315	-0.069452
0.05592	-0.06955
0.05748	-0.06959
0.0605	-0.069669
0.06352	-0.069767
0.06487	-0.069807
0.06528	-0.069807
0.06599	-0.069807
0.07088	-0.069965
0.07794	-0.070122
0.08577	-0.07032
0.09258	-0.070556
0.0966	-0.070813
0.09787	-0.07103
0.09631	-0.071227
0.09337	-0.071385
0.08812	-0.071562
0.08485	-0.071681
0.08055	-0.071779
0.07651	-0.071878
0.0722	-0.071996
0.06703	-0.072115
0.06247	-0.072233
0.05699	-0.072391
0.05157	-0.072568
0.04799	-0.072766
0.04721	-0.072963
0.04861	-0.07318
0.05266	-0.073318
0.0571	-0.073476
0.0614	-0.073574
0.06615	-0.073673
0.07259	-0.073791
0.07867	-0.07389
0.09027	-0.074067
0.10152	-0.074245
0.11546	-0.074482
0.129	-0.074797
0.13467	-0.075093
0.13155	-0.07535
0.12062	-0.075606
0.11322	-0.075705
0.11333	-0.075724
0.11163	-0.075724
0.11156	-0.075724
0.11159	-0.075724
0.11153	-0.075724
0.11102	-0.075724
0.11075	-0.075724
0.11166	-0.075724
0.11211	-0.075705
0.11057	-0.075705
0.10818	-0.075705
0.10812	-0.075705
0.10815	-0.075705
0.10803	-0.075705
0.10808	-0.075705
0.10872	-0.075705
0.10904	-0.075705
0.10925	-0.075705
0.10913	-0.075705
0.10887	-0.075705
0.10887	-0.075705
0.1086	-0.075705
0.10869	-0.075705
0.10933	-0.075724
0.11021	-0.075724
0.11058	-0.075724
0.1086	-0.075783
0.09212	-0.076
0.08606	-0.07606
0.07956	-0.076158
0.07405	-0.076237
0.06757	-0.076336
0.06386	-0.076415
0.06165	-0.076454
0.06139	-0.076454
0.06134	-0.076454
0.06122	-0.076454
0.06122	-0.076454
0.06125	-0.076454
0.05858	-0.076533
0.05417	-0.07677
0.05751	-0.076947
0.05902	-0.076987
0.06413	-0.077105
0.08194	-0.077361
0.1122	-0.077657
0.12943	-0.077815
0.14539	-0.077993
0.18581	-0.078348
0.20358	-0.078565
0.2114	-0.078782
0.20082	-0.079018
0.18861	-0.079196
0.1709	-0.079373
0.14888	-0.079551
0.13951	-0.07963
0.1322	-0.079689
0.12312	-0.079748
0.10995	-0.079847
0.09717	-0.079985
0.08711	-0.080064
0.07449	-0.080222
0.06879	-0.08032
0.06477	-0.080458
0.06598	-0.080596
0.07455	-0.080774
0.09634	-0.081011
0.10497	-0.08107
0.10995	-0.081109
0.13089	-0.081247
