Time (s) intensità_laser_sole.1	Light Intensity (% of scale max) intensità_laser_sole.1
36.28	23.87762
36.32	23.8838
36.36	23.88327
36.4	23.88637
36.44	23.88625
36.48	23.88062
36.52	23.88237
36.56	23.87582
36.6	23.8795
36.64	23.87781
36.68	23.87708
36.72	23.88614
36.76	23.88107
36.8	23.88203
36.84	23.87811
36.88	23.87776
36.92	23.87224
36.96	23.87579
37.0	23.86861
37.04	23.87065
37.08	23.86935
37.12	23.87102
37.16	23.87064
37.2	23.87035
37.24	23.86842
37.28	23.8661
37.32	23.86671
37.36	23.87025
37.4	23.87082
37.44	23.87651
37.48	23.87912
37.52	23.86977
37.56	23.86841
37.6	23.87529
37.64	23.86995
37.68	23.87982
37.72	23.88121
37.76	23.87642
37.8	23.88237
37.84	23.87802
37.88	23.87498
37.92	23.8824
37.96	23.87273
38.0	23.87704
38.04	23.87064
38.08	23.86604
38.12	23.87532
38.16	23.87393
38.2	23.87939
38.24	23.88243
38.28	23.87589
38.32	23.87422
38.36	23.87685
38.4	23.86684
38.44	23.86079
38.48	23.8542
38.52	23.83699
38.56	23.83244
38.6	23.83295
38.64	23.84088
38.68	23.84232
38.72	23.85382
38.76	23.86388
38.8	23.8689
38.84	23.8644
38.88	23.86079
38.92	23.85924
38.96	23.86345
39.0	23.86438
39.04	23.873
39.08	23.87849
39.12	23.87775
39.16	23.87556
39.2	23.86902
39.24	23.86555
39.28	23.85818
39.32	23.85362
39.36	23.8606
39.4	23.87146
39.44	23.88219
39.48	23.88481
39.52	23.88365
39.56	23.88318
39.6	23.88182
39.64	23.88461
39.68	23.88716
39.72	23.88396
39.76	23.88277
39.8	23.87909
39.84	23.87923
39.88	23.8848
39.92	23.88078
39.96	23.87907
40.0	23.87329
40.04	23.87241
40.08	23.87213
40.12	23.86232
40.16	23.86673
40.2	23.87318
40.24	23.87267
40.28	23.86913
40.32	23.86681
40.36	23.86555
40.4	23.86571
40.44	23.86592
40.48	23.8705
40.52	23.87605
40.56	23.87177
40.6	23.87376
40.64	23.88257
40.68	23.89005
40.72	23.8945
40.76	23.89941
40.8	23.89308
40.84	23.88493
40.88	23.8812
40.92	23.87564
40.96	23.8757
41.0	23.87305
41.04	23.87471
41.08	23.88141
41.12	23.88033
41.16	23.88043
41.2	23.88866
41.24	23.88417
41.28	23.8905
41.32	23.89864
41.36	23.89546
41.4	23.90356
41.44	23.90266
41.48	23.90222
41.52	23.89952
41.56	23.89664
41.6	23.88689
41.64	23.87935
41.68	23.87558
41.72	23.86302
41.76	23.86487
41.8	23.85692
41.84	23.85677
41.88	23.86456
41.92	23.86649
41.96	23.88271
42.0	23.88536
42.04	23.87997
42.08	23.88461
42.12	23.87082
42.16	23.86349
42.2	23.87097
42.24	23.86983
42.28	23.87788
42.32	23.87372
42.36	23.87117
42.4	23.87445
42.44	23.87587
42.48	23.87375
42.52	23.87369
42.56	23.87535
42.6	23.8727
42.64	23.86636
42.68	23.87115
42.72	23.86987
42.76	23.8638
42.8	23.87256
42.84	23.86777
42.88	23.87505
42.92	23.88278
42.96	23.88242
43.0	23.88669
43.04	23.89314
43.08	23.8945
43.12	23.89639
43.16	23.90036
43.2	23.90022
43.24	23.90739
43.28	23.90514
43.32	23.90428
43.36	23.89293
43.4	23.886
43.44	23.88264
43.48	23.87764
43.52	23.86966
43.56	23.87398
43.6	23.86986
43.64	23.86612
43.68	23.87932
43.72	23.88159
43.76	23.89369
43.8	23.89632
43.84	23.89633
43.88	23.90808
43.92	23.90643
43.96	23.90141
44.0	23.90643
44.04	23.91362
44.08	23.91798
44.12	23.90819
44.16	23.91553
44.2	23.91939
44.24	23.91505
44.28	23.91792
44.32	23.91914
44.36	23.918
44.4	23.92064
44.44	23.92387
44.48	23.92577
44.52	23.9297
44.56	23.92834
44.6	23.93423
44.64	23.92937
44.68	23.91727
44.72	23.91615
44.76	23.91522
44.8	23.90555
44.84	23.89507
44.88	23.88466
44.92	23.8813
44.96	23.87811
45.0	23.881
45.04	23.88081
45.08	23.8775
45.12	23.88501
45.16	23.88564
45.2	23.88425
45.24	23.88324
45.28	23.88231
45.32	23.88582
45.36	23.88564
45.4	23.88742
45.44	23.88808
45.48	23.89101
