Time (s) rumore_di_fondo_candela	Light Intensity (% of scale max) rumore_di_fondo_candela
31.72	2.59953
31.76	2.59111
31.8	2.6154
31.84	2.63622
31.88	2.68695
31.92	2.67236
31.96	2.64653
32.0	2.61853
32.04	2.58983
32.08	2.60077
32.12	2.62468
32.16	2.64813
32.2	2.68372
32.24	2.66504
32.28	2.63361
32.32	2.60197
32.36	2.58713
32.4	2.60674
32.44	2.6282
32.48	2.67865
32.52	2.66922
32.56	2.64465
32.6	2.61855
32.64	2.58513
32.68	2.58472
32.72	2.60909
32.76	2.63449
32.8	2.67174
32.84	2.65109
32.88	2.62047
32.92	2.59067
32.96	2.56982
33.0	2.58943
33.04	2.61113
33.08	2.65266
33.12	2.65569
33.16	2.63319
33.2	2.60332
33.24	2.56952
33.28	2.57309
33.32	2.59305
33.36	2.61597
33.4	2.65442
33.44	2.64262
33.48	2.60947
33.52	2.5744
33.56	2.55086
33.6	2.56699
33.64	2.58318
33.68	2.63237
33.72	2.63461
33.76	2.60875
33.8	2.58015
33.84	2.549
33.88	2.54529
33.92	2.55794
33.96	2.58904
34.0	2.62448
34.04	2.61311
34.08	2.58058
34.12	2.5488
34.16	2.52583
34.2	2.54393
34.24	2.56114
34.28	2.60907
34.32	2.61079
34.36	2.58528
34.4	2.55286
34.44	2.52553
34.48	2.52118
34.52	2.54712
34.56	2.5724
34.6	2.61113
34.64	2.592
34.68	2.56609
34.72	2.53592
34.76	2.51642
34.8	2.52824
34.84	2.55934
34.88	2.60909
34.92	2.60298
34.96	2.57993
35.0	2.55162
35.04	2.51555
35.08	2.52525
35.12	2.54497
35.16	2.5726
35.2	2.61072
35.24	2.59531
35.28	2.5625
35.32	2.53111
35.36	2.51764
35.4	2.54118
35.44	2.56474
35.48	2.61711
35.52	2.60706
35.56	2.58415
35.6	2.56068
35.64	2.5323
35.68	2.53789
35.72	2.56258
35.76	2.5863
35.8	2.62502
35.84	2.60861
35.88	2.58086
35.92	2.55367
35.96	2.54285
36.0	2.55878
36.04	2.58699
36.08	2.63263
36.12	2.62933
36.16	2.60379
36.2	2.57385
36.24	2.54393
36.28	2.55394
36.32	2.57591
36.36	2.6008
36.4	2.63583
36.44	2.62483
36.48	2.59248
36.52	2.55843
36.56	2.54483
36.6	2.56772
36.64	2.592
36.68	2.6398
36.72	2.63332
36.76	2.60712
36.8	2.58133
36.84	2.55063
36.88	2.55589
36.92	2.58452
36.96	2.60556
37.0	2.64276
37.04	2.62637
37.08	2.5941
37.12	2.55847
37.16	2.54503
37.2	2.56876
37.24	2.58716
37.28	2.63583
37.32	2.63187
37.36	2.60585
37.4	2.57735
37.44	2.54604
37.48	2.55266
37.52	2.56807
37.56	2.60162
37.6	2.63284
37.64	2.6165
37.68	2.58258
37.72	2.55464
37.76	2.53946
37.8	2.55562
37.84	2.58412
37.88	2.62857
37.92	2.61543
37.96	2.5941
38.0	2.56293
38.04	2.53253
38.08	2.54532
38.12	2.56462
38.16	2.59912
38.2	2.63113
38.24	2.61253
38.28	2.57733
38.32	2.54482
38.36	2.53529
38.4	2.56036
38.44	2.58272
38.48	2.62958
38.52	2.62375
38.56	2.59172
38.6	2.56073
38.64	2.53374
38.68	2.54451
38.72	2.57358
38.76	2.59448
38.8	2.62025
38.84	2.60004
38.88	2.56822
38.92	2.54021
38.96	2.53606
39.0	2.55148
39.04	2.58284
39.08	2.62564
39.12	2.61034
39.16	2.5806
39.2	2.55014
39.24	2.52223
39.28	2.52895
39.32	2.55714
39.36	2.57855
39.4	2.60268
39.44	2.58163
39.48	2.55515
39.52	2.52151
39.56	2.51805
39.6	2.54446
39.64	2.56479
39.68	2.6098
39.72	2.59337
39.76	2.56813
39.8	2.53497
39.84	2.51826
39.88	2.53458
39.92	2.55605
39.96	2.6053
40.0	2.6046
40.04	2.58017
40.08	2.54558
40.12	2.51085
40.16	2.51663
40.2	2.54277
40.24	2.56688
40.28	2.60504
40.32	2.58636
40.36	2.5481
40.4	2.51411
40.44	2.50238
40.48	2.52631
40.52	2.54527
40.56	2.59769
40.6	2.5851
40.64	2.56029
40.68	2.53555
40.72	2.50616
40.76	2.51431
40.8	2.53596
40.84	2.56078
40.88	2.597
40.92	2.57658
40.96	2.55069
41.0	2.52011
41.04	2.51164
41.08	2.52519
41.12	2.55518
41.16	2.60103
41.2	2.5929
41.24	2.56386
41.28	2.5331
41.32	2.51031
41.36	2.51782
41.4	2.54448
41.44	2.57457
41.48	2.603
41.52	2.58168
41.56	2.54617
41.6	2.51608
41.64	2.51233
41.68	2.53746
41.72	2.55743
41.76	2.60025
41.8	2.58972
41.84	2.56435
41.88	2.5302
41.92	2.51039
41.96	2.52975
42.0	2.54858
42.04	2.5816
42.08	2.60141
42.12	2.57744
42.16	2.545
42.2	2.51375
42.24	2.52069
42.28	2.54169
42.32	2.56509
42.36	2.60193
42.4	2.58618
42.44	2.5582
42.48	2.53191
42.52	2.51427
42.56	2.5265
42.6	2.5576
42.64	2.58107
42.68	2.59453
42.72	2.57355
42.76	2.54892
42.8	2.5183
42.84	2.5266
42.88	2.54236
42.92	2.57292
42.96	2.60251
43.0	2.58594
43.04	2.55586
43.08	2.52075
43.12	2.51727
43.16	2.52815
43.2	2.55827
43.24	2.60365
43.28	2.5925
43.32	2.56546
43.36	2.53159
43.4	2.50435
43.44	2.51904
43.48	2.54559
43.52	2.56697
43.56	2.59514
43.6	2.57654
43.64	2.54561
43.68	2.50934
43.72	2.51164
43.76	2.5343
