Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
35.5000000000	-0.0940000000
33.2000000000	-0.0940000000
27.7000000000	-0.0944000000
28.8000000000	-0.0946000000
29.2000000000	-0.0946000000
30.4000000000	-0.0947000000
30.5000000000	-0.0947000000
30.5000000000	-0.0947000000
30.6000000000	-0.0947000000
30.7000000000	-0.0947000000
30.9000000000	-0.0947000000
31.0000000000	-0.0947000000
30.6000000000	-0.0947000000
30.7000000000	-0.0947000000
30.8000000000	-0.0947000000
30.9000000000	-0.0947000000
30.7000000000	-0.0947000000
30.7000000000	-0.0947000000
30.8000000000	-0.0947000000
30.8000000000	-0.0947000000
30.8000000000	-0.0947000000
30.9000000000	-0.0947000000
30.8000000000	-0.0947000000
30.8000000000	-0.0947000000
30.7000000000	-0.0947000000
30.8000000000	-0.0947000000
31.3000000000	-0.0948000000
31.7000000000	-0.0948000000
32.2000000000	-0.0949000000
27.7000000000	-0.0952000000
21.1000000000	-0.0956000000
20.9000000000	-0.0957000000
22.1000000000	-0.0960000000
17.1000000000	-0.0965000000
13.9000000000	-0.0967000000
13.4000000000	-0.0971000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.1000000000	-0.0972000000
14.1000000000	-0.0972000000
14.1000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.0000000000	-0.0972000000
14.1000000000	-0.0972000000
14.1000000000	-0.0972000000
13.9000000000	-0.0974000000
9.7000000000	-0.0978000000
8.5000000000	-0.0979000000
7.0000000000	-0.0980000000
6.2000000000	-0.0981000000
6.1000000000	-0.0986000000
4.9000000000	-0.0988000000
3.3000000000	-0.0991000000
1.7000000000	-0.0993000000
1.7000000000	-0.0996000000
1.3000000000	-0.0999000000
1.1000000000	-0.1000000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.9000000000	-0.1001000000
0.8000000000	-0.1001000000
0.8000000000	-0.1001000000
0.9000000000	-0.1001000000
0.8000000000	-0.1001000000
0.8000000000	-0.1001000000
0.6000000000	-0.1002000000
0.2000000000	-0.1009000000
0.2000000000	-0.1011000000
0.2000000000	-0.1011000000
0.4000000000	-0.1013000000
0.4000000000	-0.1014000000
0.5000000000	-0.1020000000
1.0000000000	-0.1024000000
1.4000000000	-0.1027000000
1.5000000000	-0.1030000000
1.4000000000	-0.1032000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.5000000000	-0.1033000000
1.9000000000	-0.1036000000
2.2000000000	-0.1039000000
2.1000000000	-0.1040000000
1.9000000000	-0.1042000000
1.8000000000	-0.1043000000
1.8000000000	-0.1046000000
1.9000000000	-0.1051000000
1.6000000000	-0.1054000000
1.2000000000	-0.1057000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.1000000000	-0.1058000000
1.2000000000	-0.1060000000
0.4000000000	-0.1068000000
0.4000000000	-0.1070000000
0.4000000000	-0.1071000000
0.3000000000	-0.1073000000
0.3000000000	-0.1073000000
0.3000000000	-0.1075000000
0.2000000000	-0.1076000000
0.1000000000	-0.1078000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.1000000000	-0.1081000000
0.2000000000	-0.1089000000
0.2000000000	-0.1092000000
0.3000000000	-0.1093000000
0.3000000000	-0.1096000000
0.3000000000	-0.1097000000
0.4000000000	-0.1100000000
0.5000000000	-0.1102000000
0.6000000000	-0.1103000000
0.5000000000	-0.1107000000
