Relative Intensity Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
1.1372833	-0.09312172
1.1346283	-0.0931809
1.1269836	-0.09335842
1.1212769	-0.0934965
1.1200562	-0.09353595
1.1189423	-0.09359512
1.1138306	-0.09375292
1.1071014	-0.09387127
1.1040955	-0.09393045
1.102417	-0.09395017
1.101181	-0.09395017
1.1014557	-0.09395017
1.102478	-0.09391072
1.1100159	-0.09375292
1.1099091	-0.09375292
1.1092224	-0.09375292
1.1096497	-0.09375292
1.1088409	-0.09375292
1.1074829	-0.09375292
1.107132	-0.09375292
1.1068268	-0.09375292
1.1087646	-0.09375292
1.107666	-0.09375292
1.1074982	-0.09375292
1.1087952	-0.09377265
1.1083832	-0.09377265
1.1040192	-0.09385155
1.1035614	-0.09387127
1.0991669	-0.09393045
1.092041	-0.09408825
1.0763855	-0.09471945
1.0722351	-0.0948378
1.070694	-0.0948378
1.0713043	-0.09487725
1.068512	-0.0949167
1.066391	-0.09497587
1.0643616	-0.09503505
1.0624542	-0.0950745
1.0534668	-0.09537037
1.0359497	-0.09588322
1.0276794	-0.09606075
1.0274658	-0.09606075
1.0265045	-0.0961002
1.0121155	-0.0963369
0.9848022	-0.09698782
0.9716187	-0.09732315
0.9701538	-0.09738232
0.9667816	-0.09750067
0.964325	-0.09755985
0.9626312	-0.09757957
0.9595184	-0.09769792
0.9333649	-0.0980727
0.9028778	-0.09872362
0.8853149	-0.09913785
0.8818207	-0.09923647
0.8780212	-0.09935482
0.8714294	-0.09951262
0.8563538	-0.0998874
0.8504944	-0.10000575
0.8469086	-0.10006492
0.8425903	-0.10014382
0.8386688	-0.10026217
0.8248138	-0.10063695
0.8126678	-0.100992
0.8075867	-0.1010709
0.8084717	-0.10111035
0.7977905	-0.10132732
0.7931671	-0.10152457
0.7927094	-0.10152457
0.7920685	-0.10150485
0.7994537	-0.10120897
0.8024139	-0.10118925
0.8031158	-0.10118925
0.8031311	-0.10118925
0.8026276	-0.10118925
0.801651	-0.10118925
0.8006592	-0.10118925
0.803009	-0.10118925
0.8032684	-0.10118925
0.8024902	-0.10120897
0.8035736	-0.10124842
0.8005066	-0.1013076
0.7988129	-0.10136677
0.7958984	-0.10140622
0.7921295	-0.1015443
0.7805328	-0.10205715
0.7671661	-0.10262917
0.7658081	-0.1027278
0.7650604	-0.1028067
0.7620697	-0.10308285
0.7585907	-0.103359
0.7564545	-0.10353652
0.7543488	-0.10387185
0.7509155	-0.10442415
0.7532196	-0.1050159
0.7546387	-0.10523287
0.7556458	-0.10546957
0.7574005	-0.105726
0.7586517	-0.10594297
0.7617493	-0.10621912
0.7632599	-0.10633747
0.7642975	-0.10641637
0.7650757	-0.10665307
0.7666626	-0.10681087
0.7664948	-0.1069884
0.7649231	-0.10732372
0.7555695	-0.10791547
0.7402344	-0.1082508
0.7367096	-0.10827052
0.7374878	-0.10827052
0.7366486	-0.1082508
0.7374725	-0.1082508
0.7394257	-0.10815217
0.7399445	-0.108093
0.7402954	-0.108093
0.7406006	-0.108093
0.7405853	-0.108093
0.7403717	-0.108093
0.7420349	-0.108093
0.7435913	-0.108093
0.7435913	-0.108093
0.7430725	-0.108093
0.7424011	-0.10811272
0.7442017	-0.10815217
0.7397156	-0.10821135
0.736908	-0.10827052
0.7214203	-0.10850722
0.6612396	-0.10923705
0.6265259	-0.10961182
0.618042	-0.10969072
0.5750275	-0.11008522
0.5151672	-0.11055862
0.4897614	-0.11073615
0.467865	-0.1109334
0.4390564	-0.1111701
0.4091187	-0.11144625
0.3912354	-0.11152515
0.3847504	-0.1115646
0.3466644	-0.1118802
0.3156738	-0.11223525
0.3119507	-0.11229442
0.3045654	-0.1123536
0.2814026	-0.11262975
0.2551575	-0.11300452
0.2448273	-0.11318205
0.243042	-0.1132215
0.232666	-0.11341875
0.2149811	-0.1137738
0.1978302	-0.11414857
0.194809	-0.11422747
0.1941376	-0.11422747
0.1941071	-0.11420775
0.194397	-0.11418802
0.1946411	-0.11418802
0.1948395	-0.11418802
0.1943359	-0.11418802
0.1942902	-0.11418802
0.1932526	-0.11418802
0.1934967	-0.11418802
0.1933594	-0.11418802
0.1935272	-0.11418802
0.1935425	-0.11420775
0.1933594	-0.11420775
0.1936798	-0.11422747
0.189743	-0.1143261
0.1743469	-0.1147995
