Light Intensity (% of scale max) Antonio_0.04_1.5_lampadina	Position (m) Antonio_0.04_1.5_lampadina
0.08466	-0.122828
0.08455	-0.122828
0.08437	-0.122828
0.08424	-0.122828
0.08389	-0.122828
0.08403	-0.122847
0.08417	-0.122867
0.08337	-0.122906
0.06903	-0.123715
0.04893	-0.124997
0.04512	-0.125333
0.03848	-0.125845
0.03604	-0.126279
0.03612	-0.126773
0.03908	-0.127364
0.04474	-0.128094
0.05006	-0.128587
0.05627	-0.12908
0.06453	-0.129593
0.07455	-0.130047
0.08786	-0.13054
0.10645	-0.131092
0.11783	-0.131507
0.1255	-0.132098
0.12567	-0.132394
0.12184	-0.132769
0.11234	-0.133302
0.10371	-0.133795
0.09845	-0.134268
0.0954	-0.13484
0.09363	-0.135412
0.09837	-0.13553
0.09846	-0.13553
0.09877	-0.135491
0.09882	-0.135452
0.09869	-0.135452
0.0993	-0.135452
0.09912	-0.135452
0.09882	-0.135452
0.0992	-0.135452
0.09938	-0.135452
0.09943	-0.135452
0.09906	-0.135452
0.09903	-0.135452
0.09863	-0.135452
0.0986	-0.135471
0.09932	-0.13553
0.09911	-0.13553
0.09941	-0.13553
0.10045	-0.13557
0.10361	-0.136063
0.1032	-0.136694
0.10193	-0.136832
0.09386	-0.137247
0.07921	-0.137799
0.06807	-0.138193
0.05623	-0.138746
0.05093	-0.139081
0.04465	-0.139732
0.04062	-0.140186
0.03842	-0.140659
0.036	-0.141192
0.03506	-0.141547
0.03421	-0.141941
0.03445	-0.142316
0.03537	-0.142947
0.0369	-0.14342
0.03876	-0.143874
0.04312	-0.144407
0.04672	-0.144781
0.04791	-0.145038
0.05484	-0.14563
0.06293	-0.14632
0.06436	-0.146793
0.06284	-0.147306
0.06221	-0.147642
0.06297	-0.148135
0.06804	-0.148687
0.07272	-0.149022
0.07855	-0.149476
0.08096	-0.149792
0.08066	-0.149851
0.08109	-0.149851
0.08072	-0.149851
0.08084	-0.149851
0.0811	-0.149851
0.0809	-0.149851
0.08109	-0.149851
0.08089	-0.149851
0.08098	-0.149851
0.08064	-0.149851
0.08064	-0.149851
0.08075	-0.149851
0.08092	-0.149851
0.08078	-0.149871
0.07994	-0.150048
0.07767	-0.150324
0.07153	-0.150738
0.06105	-0.151449
0.05783	-0.151784
0.05743	-0.152356
0.05757	-0.15277
0.05719	-0.153362
0.05032	-0.15421
0.0423	-0.154723
0.03975	-0.155038
0.03874	-0.155216
0.03592	-0.155827
0.03441	-0.156814
0.03337	-0.157149
0.03351	-0.157504
0.03314	-0.157839
0.03404	-0.158194
0.03442	-0.158569
0.03589	-0.158944
0.03778	-0.159378
0.03836	-0.159457
0.04019	-0.159832
0.04353	-0.160404
0.04462	-0.16068
0.0452	-0.161212
0.04678	-0.161804
0.05269	-0.162534
0.05496	-0.162731
0.05576	-0.16281
0.05838	-0.16352
0.05779	-0.163856
0.05756	-0.163915
0.05728	-0.163915
0.05754	-0.163915
0.05756	-0.163915
0.05751	-0.163915
0.05743	-0.163915
0.05751	-0.163915
0.05769	-0.163915
0.05753	-0.163915
0.05763	-0.163915
0.05724	-0.163915
0.05707	-0.163915
0.05746	-0.163915
0.05739	-0.163915
0.05704	-0.163994
0.05573	-0.164211
0.0558	-0.16425
0.0549	-0.164467
0.05318	-0.165079
0.05533	-0.165493
0.05794	-0.166203
0.05682	-0.166775
0.05423	-0.167051
0.0517	-0.167288
0.0484	-0.167662
0.04552	-0.168432
0.04572	-0.168688
0.04504	-0.169142
0.04474	-0.1693
0.04219	-0.169714
0.03697	-0.170503
0.03598	-0.170937
0.03548	-0.171252
0.03461	-0.171726
0.03453	-0.172101
0.03345	-0.172752
0.0336	-0.173067
0.03351	-0.173462
0.03413	-0.173935
0.03615	-0.174704
0.03651	-0.174902
0.03702	-0.175257
0.03806	-0.175809
0.03906	-0.176302
0.04134	-0.176637
0.04126	-0.176697
0.04472	-0.177052
0.04646	-0.177683
0.04643	-0.177939
0.04684	-0.178038
0.04651	-0.178432
0.04546	-0.178551
0.04555	-0.178551
0.04602	-0.178531
0.04578	-0.178531
0.04541	-0.178531
0.04561	-0.178531
0.04578	-0.178531
0.04593	-0.178531
0.0459	-0.178531
0.0459	-0.178531
0.04591	-0.178531
0.04597	-0.178531
0.04579	-0.17857
0.04712	-0.179419
0.04968	-0.179734
0.04996	-0.179774
0.05009	-0.179793
0.05009	-0.179793
0.05006	-0.179793
0.05008	-0.179793
0.05016	-0.179774
0.04999	-0.179774
0.05014	-0.179774
0.04948	-0.179774
0.05029	-0.179774
0.0499	-0.179774
0.05003	-0.179774
0.05	-0.179774
0.04942	-0.179774
0.04988	-0.179774
0.04991	-0.179774
0.04971	-0.179774
0.04984	-0.179774
0.04977	-0.179774
0.05005	-0.179774
0.0499	-0.179774
0.05014	-0.179774
0.04982	-0.179655
0.05043	-0.179399
0.05052	-0.179281
0.04959	-0.179004
0.04646	-0.178235
0.04659	-0.17717
0.04521	-0.176539
0.04381	-0.176341
0.03851	-0.175552
0.03754	-0.174961
0.0378	-0.174941
0.037	-0.174665
0.03639	-0.174349
0.03624	-0.174172
0.03535	-0.173896
0.03465	-0.173501
0.03403	-0.173166
0.03389	-0.17283
0.03383	-0.172101
0.03413	-0.171824
0.03427	-0.171726
0.03435	-0.171726
0.03427	-0.171726
0.03421	-0.171726
0.0343	-0.171726
0.03444	-0.171726
0.03426	-0.171726
0.03448	-0.171726
0.03473	-0.171726
0.03439	-0.171726
0.03421	-0.171726
0.03444	-0.171726
0.03429	-0.171726
0.03441	-0.171726
0.03455	-0.171706
0.03435	-0.171627
0.03482	-0.170957
0.0381	-0.169793
0.04163	-0.1693
0.04555	-0.16853
0.04567	-0.168432
0.04536	-0.168392
0.04541	-0.168077
0.04588	-0.167682
0.04826	-0.167031
0.05432	-0.166499
0.05739	-0.166124
0.05846	-0.165453
0.05788	-0.165374
0.05803	-0.165335
0.05675	-0.165059
0.05545	-0.165
0.05547	-0.164921
0.05495	-0.164881
0.05429	-0.164763
0.05278	-0.164132
0.05724	-0.163284
0.05698	-0.162495
0.0549	-0.162297
0.05482	-0.162297
0.0547	-0.162317
0.05484	-0.162317
0.05447	-0.162317
0.05478	-0.162317
0.05475	-0.162317
0.05446	-0.162317
0.0547	-0.162317
0.05463	-0.162317
0.05463	-0.162317
0.05452	-0.162317
0.05486	-0.162337
0.05434	-0.162337
0.0542	-0.162337
0.0545	-0.162278
0.05333	-0.1621
0.04706	-0.161272
0.04507	-0.160581
0.0439	-0.159634
0.0369	-0.158431
0.03505	-0.1578
0.03383	-0.157208
0.03403	-0.156695
0.03435	-0.156261
0.03514	-0.15563
0.03743	-0.154822
0.03941	-0.154388
0.04504	-0.153756
0.05136	-0.153303
0.05396	-0.153066
0.05699	-0.152573
0.05792	-0.152099
0.05795	-0.151961
0.05743	-0.151863
0.05743	-0.15137
0.05725	-0.151251
0.05795	-0.151113
0.0643	-0.150364
0.07109	-0.14993
0.07111	-0.14993
0.07362	-0.149772
0.07576	-0.149693
0.07547	-0.149693
0.07532	-0.149713
0.0761	-0.149713
0.0762	-0.149713
0.07576	-0.149713
0.07581	-0.149713
0.07599	-0.149713
0.076	-0.149713
0.0761	-0.149713
0.07585	-0.149713
0.07666	-0.149732
0.07716	-0.149732
0.07718	-0.149713
0.07684	-0.149693
0.08008	-0.149318
0.07843	-0.148648
0.07062	-0.148056
0.06447	-0.147444
0.06163	-0.146872
0.06273	-0.146379
0.06325	-0.145787
0.06068	-0.145373
0.05701	-0.144998
0.04999	-0.144565
0.04535	-0.14419
0.04163	-0.143854
0.03976	-0.143578
0.0383	-0.14342
0.03731	-0.143164
0.03618	-0.142967
0.03546	-0.142671
0.03491	-0.142276
0.0343	-0.141961
0.03381	-0.141862
0.03398	-0.141803
0.03418	-0.141448
0.03436	-0.141152
0.03481	-0.140994
0.0347	-0.140935
0.03474	-0.140915
0.035	-0.140718
0.03592	-0.140501
0.03642	-0.140304
0.03717	-0.140166
0.03761	-0.139949
0.03922	-0.139732
0.03969	-0.139633
0.04091	-0.139416
0.04204	-0.139258
0.04248	-0.139258
0.04221	-0.139258
0.04549	-0.139377
0.04564	-0.139377
0.04591	-0.139377
0.04503	-0.139377
0.0459	-0.139377
0.04558	-0.139377
0.0455	-0.139377
0.04535	-0.139377
0.04553	-0.139377
0.04527	-0.139377
0.04625	-0.139298
0.04582	-0.139298
0.04767	-0.138943
0.06587	-0.138193
0.08501	-0.137602
0.09885	-0.13701
0.10184	-0.136773
0.10269	-0.136438
0.10355	-0.136142
0.10291	-0.135787
0.09846	-0.135294
0.09616	-0.134978
0.0959	-0.134623
0.09697	-0.134386
0.09706	-0.134308
0.09926	-0.133933
0.10081	-0.133893
0.10188	-0.133755
0.10588	-0.133479
0.10791	-0.13338
0.10988	-0.133262
0.11423	-0.133045
0.11757	-0.132887
0.11955	-0.132808
0.12175	-0.132591
0.12372	-0.132453
0.1256	-0.132335
0.12555	-0.132138
0.12524	-0.132039
0.12379	-0.131901
0.12167	-0.131783
0.11923	-0.131605
0.117	-0.131467
0.112	-0.131309
0.10335	-0.131013
0.0956	-0.130816
0.08717	-0.13054
0.08299	-0.130382
0.08064	-0.130303
0.07727	-0.130185
0.07472	-0.130086
0.07492	-0.130086
0.07457	-0.130086
0.07449	-0.130146
0.07442	-0.130146
0.07454	-0.130146
0.07452	-0.130146
0.07448	-0.130146
0.07442	-0.130146
0.07487	-0.130146
0.07454	-0.130146
0.07484	-0.130146
0.07455	-0.130146
0.07439	-0.130146
0.07489	-0.130146
0.0741	-0.130146
0.07414	-0.130146
0.07401	-0.130086
0.07466	-0.130086
0.07466	-0.130086
0.06772	-0.12985
0.05988	-0.129376
0.05112	-0.128785
0.0468	-0.128331
0.04257	-0.127897
0.0397	-0.127502
0.03746	-0.127108
0.03717	-0.126851
0.03664	-0.126595
0.03671	-0.126398
0.03613	-0.126279
0.03664	-0.126201
0.03621	-0.126023
0.03632	-0.125786
0.03906	-0.125273
0.04477	-0.124958
0.0497	-0.124701
0.05528	-0.124484
0.05716	-0.124366
0.05934	-0.124228
0.06071	-0.12409
0.06371	-0.123952
0.06473	-0.123853
0.06593	-0.123715
0.06726	-0.123597
0.06749	-0.123479
0.06886	-0.123301
0.0708	-0.123084
0.07265	-0.123025
0.07484	-0.122867
0.08336	-0.122433
0.09714	-0.122137
0.10703	-0.12192
0.11908	-0.121723
0.12109	-0.121723
0.12372	-0.121684
0.1301	-0.121545
0.14105	-0.121427
0.15134	-0.12123
0.16086	-0.121072
0.1702	-0.120934
0.17633	-0.120816
0.18092	-0.120717
0.18642	-0.120638
0.18657	-0.120638
0.18668	-0.120638
0.18927	-0.120678
0.18779	-0.120678
0.18784	-0.120678
0.18826	-0.120678
0.18756	-0.120678
0.18794	-0.120678
0.18706	-0.120678
0.18787	-0.120678
0.18799	-0.120678
0.18837	-0.120678
0.18814	-0.120678
0.18739	-0.120658
0.18773	-0.120658
0.18826	-0.120658
