Relative Intensity Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
0.3271027	-0.0854487
0.3275604	-0.08588265
0.3251343	-0.0860799
0.3279114	-0.08635605
0.3384857	-0.08659275
0.3404236	-0.08673083
0.3424835	-0.08688863
0.3445435	-0.08704643
0.3537445	-0.08732258
0.3579102	-0.08732258
0.3586884	-0.08732258
0.361557	-0.08732258
0.3639679	-0.08732258
0.3647003	-0.08732258
0.3607941	-0.08732258
0.3632355	-0.08732258
0.3652039	-0.08732258
0.363327	-0.08732258
0.3627472	-0.08732258
0.3629761	-0.08732258
0.3591614	-0.08732258
0.3538513	-0.08736203
0.3644867	-0.08791433
0.368988	-0.08830883
0.37117	-0.08830883
0.3725891	-0.08832855
0.3715668	-0.08832855
0.368927	-0.08846663
0.3712921	-0.08880195
0.3865814	-0.08917673
0.3921661	-0.08927535
0.3938904	-0.08953178
0.3978119	-0.08998545
0.4081268	-0.0901038
0.4123993	-0.09030105
0.4133911	-0.0905772
0.4173126	-0.0906561
0.421524	-0.0906561
0.4197083	-0.09063638
0.4192352	-0.09063638
0.4225159	-0.09063638
0.4233704	-0.09063638
0.4229431	-0.09063638
0.4234619	-0.09063638
0.422226	-0.09063638
0.4191742	-0.09063638
0.4190826	-0.09063638
0.4191895	-0.09063638
0.4207764	-0.09067583
0.4215698	-0.0911295
0.4336853	-0.09193823
0.439682	-0.09211575
0.4452515	-0.09227355
0.4459991	-0.09266805
0.4475555	-0.09298365
0.4589996	-0.09312173
0.4626007	-0.0934176
0.4639587	-0.09367403
0.4694214	-0.09375293
0.471283	-0.09375293
0.4699097	-0.09375293
0.4718781	-0.0937332
0.4751587	-0.0937332
0.4777222	-0.0937332
0.483078	-0.0937332
0.4819946	-0.0937332
0.4793396	-0.0937332
0.4767609	-0.0937332
0.4763184	-0.0937332
0.4751587	-0.0937332
0.4769135	-0.09375293
0.4787445	-0.09375293
0.4784088	-0.09379238
0.4727478	-0.09395018
0.4746857	-0.0943644
0.4806366	-0.09448275
0.4849854	-0.09468
0.4913177	-0.09487725
0.4986115	-0.09509423
0.524292	-0.09576488
0.5346832	-0.09621855
0.5380707	-0.0963369
0.543335	-0.09671168
0.5445099	-0.09708645
0.5504608	-0.09722453
0.5568237	-0.09722453
0.5526428	-0.09722453
0.5503387	-0.09722453
0.5533752	-0.0972048
0.5554352	-0.0972048
0.5518646	-0.0972048
0.5570526	-0.0972048
0.5550385	-0.0972048
0.5536499	-0.0972048
0.556015	-0.0972048
0.5534668	-0.0972048
0.5526581	-0.0972048
0.556015	-0.09722453
0.5554047	-0.09755985
0.5657806	-0.0980727
0.5752411	-0.09813188
0.5776825	-0.09834885
0.583313	-0.09874335
0.5914459	-0.09888143
0.5959778	-0.09921675
0.6039124	-0.09967043
