Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.17543	-0.167288
0.17522	-0.167288
0.17513	-0.167307
0.17526	-0.167307
0.17598	-0.167386
0.17778	-0.168175
0.17561	-0.168964
0.17529	-0.169024
0.17525	-0.16928
0.17644	-0.169674
0.1801	-0.170266
0.18166	-0.170917
0.18074	-0.171016
0.18033	-0.171075
0.17976	-0.171174
0.17957	-0.171174
0.1797	-0.171174
0.17975	-0.171174
0.17964	-0.171174
0.17946	-0.171174
0.17937	-0.171174
0.17911	-0.171174
0.17953	-0.171174
0.17934	-0.171174
0.17912	-0.171174
0.1785	-0.171213
0.17719	-0.171706
0.17548	-0.172377
0.17557	-0.172436
0.1759	-0.172594
0.17831	-0.173067
0.17964	-0.173225
0.17984	-0.173383
0.18056	-0.1736
0.18051	-0.173639
0.17932	-0.174152
0.1745	-0.174961
0.17427	-0.17498
0.17477	-0.17504
0.17448	-0.175059
0.17439	-0.175059
0.17442	-0.175059
0.17442	-0.17504
0.17473	-0.17504
0.17447	-0.17504
0.17499	-0.17504
0.17433	-0.17504
0.17436	-0.17504
0.17464	-0.17504
0.17447	-0.17504
0.17436	-0.175059
0.17564	-0.175296
0.1778	-0.176203
0.17738	-0.17646
0.17513	-0.176894
0.17485	-0.176933
0.17264	-0.177347
0.17285	-0.178117
0.17307	-0.178215
0.17332	-0.178235
0.17334	-0.178235
0.1739	-0.178235
0.17387	-0.178235
0.17368	-0.178215
0.17371	-0.178215
0.17355	-0.178215
0.17363	-0.178215
0.1734	-0.178215
0.17378	-0.178215
0.17377	-0.178215
0.17361	-0.178215
0.17363	-0.178215
0.17368	-0.178215
0.17326	-0.178117
0.17351	-0.177959
0.17336	-0.177801
0.17264	-0.177604
0.17229	-0.177486
0.17157	-0.177229
0.17178	-0.176835
0.17252	-0.176618
0.17291	-0.176578
0.1745	-0.176322
0.1757	-0.176164
0.17703	-0.175908
0.17696	-0.174842
0.17564	-0.174547
0.17578	-0.174448
0.17599	-0.174132
0.17639	-0.174073
0.17656	-0.173975
0.17694	-0.173915
0.17734	-0.173915
0.17708	-0.173935
0.17732	-0.173935
0.17743	-0.173935
0.17722	-0.173935
0.17714	-0.173935
0.17795	-0.173935
0.17758	-0.173915
0.17824	-0.173738
0.18163	-0.172929
0.17993	-0.172436
0.18033	-0.172416
0.17734	-0.171903
0.1761	-0.171529
0.17557	-0.171529
0.17627	-0.17141
0.17627	-0.171371
0.17603	-0.171371
0.17633	-0.171312
0.17686	-0.171095
0.17892	-0.170779
0.18044	-0.170404
0.18007	-0.170345
0.17961	-0.170345
0.17946	-0.170365
0.17961	-0.170404
0.18001	-0.170404
0.17966	-0.170404
0.17935	-0.170404
0.17897	-0.170404
0.17867	-0.170286
0.17833	-0.169911
0.17419	-0.169043
0.17293	-0.168392
0.1732	-0.168254
0.17484	-0.167248
0.17195	-0.166558
0.17142	-0.166558
0.17209	-0.166558
0.17175	-0.166558
0.172	-0.166558
0.17178	-0.166558
0.17134	-0.166597
0.17195	-0.166617
0.17194	-0.166617
0.17226	-0.166617
0.17186	-0.166617
0.17203	-0.166617
0.17226	-0.166597
0.17191	-0.166558
0.17108	-0.166223
0.17126	-0.165414
0.17123	-0.165079
0.17122	-0.164842
0.17145	-0.164743
0.17146	-0.164605
0.17085	-0.164092
0.17038	-0.163856
0.17	-0.163836
0.16953	-0.163737
0.16943	-0.163658
0.16968	-0.163658
0.16968	-0.163658
0.16916	-0.163698
0.16966	-0.163796
0.16978	-0.163796
0.1698	-0.163796
0.16977	-0.163796
0.17017	-0.163777
0.17036	-0.163757
0.16911	-0.163362
0.1682	-0.162573
0.16808	-0.162159
0.16763	-0.1621
0.16769	-0.161725
0.16692	-0.161508
0.16733	-0.161429
0.16721	-0.161193
0.16611	-0.160995
0.16713	-0.160995
0.16656	-0.160995
0.16702	-0.161074
0.16702	-0.161094
0.16716	-0.161094
0.16719	-0.161094
0.16704	-0.161094
0.16713	-0.161074
0.16685	-0.161074
0.16612	-0.160818
0.16599	-0.16068
0.16463	-0.160423
0.16318	-0.15995
0.16241	-0.159615
0.16147	-0.159516
0.16116	-0.159003
0.16133	-0.158628
0.16121	-0.158352
