Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina	Position (m) Antonio_0.02_1.5_lampadina
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0931000000
1.1000000000	-0.0932000000
1.1000000000	-0.0936000000
1.1000000000	-0.0938000000
1.1000000000	-0.0941000000
1.1000000000	-0.0946000000
1.1000000000	-0.0947000000
1.1000000000	-0.0948000000
1.1000000000	-0.0949000000
1.1000000000	-0.0949000000
1.1000000000	-0.0950000000
1.1000000000	-0.0950000000
1.1000000000	-0.0950000000
1.1000000000	-0.0951000000
1.2000000000	-0.0954000000
1.2000000000	-0.0956000000
1.2000000000	-0.0957000000
1.2000000000	-0.0957000000
1.2000000000	-0.0961000000
1.2000000000	-0.0964000000
1.2000000000	-0.0964000000
1.2000000000	-0.0965000000
1.2000000000	-0.0967000000
1.2000000000	-0.0969000000
1.2000000000	-0.0971000000
1.2000000000	-0.0972000000
1.2000000000	-0.0974000000
1.2000000000	-0.0978000000
1.2000000000	-0.0979000000
1.2000000000	-0.0979000000
1.2000000000	-0.0981000000
1.2000000000	-0.0984000000
1.3000000000	-0.0990000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0992000000
1.3000000000	-0.0997000000
1.3000000000	-0.1001000000
1.3000000000	-0.1001000000
1.3000000000	-0.1003000000
1.2000000000	-0.1007000000
1.2000000000	-0.1009000000
1.2000000000	-0.1011000000
1.2000000000	-0.1012000000
1.2000000000	-0.1014000000
1.2000000000	-0.1017000000
1.2000000000	-0.1018000000
1.1000000000	-0.1023000000
1.1000000000	-0.1027000000
1.1000000000	-0.1029000000
1.1000000000	-0.1030000000
1.0000000000	-0.1031000000
1.0000000000	-0.1032000000
1.0000000000	-0.1033000000
1.0000000000	-0.1036000000
1.0000000000	-0.1037000000
0.9000000000	-0.1040000000
