Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.17523	-0.165532
0.17555	-0.165532
0.17563	-0.165552
0.17596	-0.165552
0.17587	-0.165552
0.177	-0.165848
0.1794	-0.166893
0.17719	-0.167978
0.18295	-0.168905
0.18466	-0.169339
0.18449	-0.169359
0.18445	-0.169596
0.18027	-0.170621
0.18541	-0.171765
0.18491	-0.172554
0.1815	-0.173067
0.1801	-0.173462
0.18039	-0.173698
0.18378	-0.17431
0.18497	-0.17498
0.18204	-0.175454
0.17825	-0.176125
0.17825	-0.176578
0.17957	-0.177071
0.17979	-0.177525
0.17273	-0.178176
0.17436	-0.178235
0.17421	-0.178235
0.17442	-0.178255
0.17477	-0.178255
0.1749	-0.178255
0.17418	-0.178255
0.17438	-0.178255
0.17461	-0.178255
0.17461	-0.178255
0.17432	-0.178255
0.17404	-0.178275
0.17432	-0.178275
0.17416	-0.178275
0.17415	-0.178294
0.17409	-0.178294
0.17308	-0.179399
0.17386	-0.179754
0.17404	-0.179754
0.17413	-0.179774
0.17438	-0.179774
0.17418	-0.179774
0.17436	-0.179774
0.17386	-0.179774
0.17389	-0.179774
0.17406	-0.179774
0.17401	-0.179774
0.17406	-0.179774
0.17429	-0.179774
0.1739	-0.179754
0.17419	-0.179754
0.17358	-0.179754
0.17413	-0.179754
0.17378	-0.179754
0.17383	-0.179754
0.1736	-0.179754
0.17366	-0.179754
0.17345	-0.179754
0.17397	-0.179754
0.17429	-0.179754
0.1743	-0.179754
0.175	-0.179754
0.17551	-0.179774
0.17542	-0.179774
0.17583	-0.179774
0.17537	-0.179774
0.17557	-0.179774
0.17561	-0.179774
0.17529	-0.179774
0.17542	-0.179774
0.17534	-0.179774
0.17567	-0.179754
0.17487	-0.179754
0.17476	-0.179754
0.17455	-0.179754
0.17479	-0.179754
0.17409	-0.179754
0.17427	-0.179754
0.17485	-0.179754
0.17451	-0.179754
0.17468	-0.179754
0.17465	-0.179754
0.17427	-0.179754
0.17448	-0.179754
0.1743	-0.179754
0.17419	-0.179754
0.17413	-0.179754
0.17447	-0.179754
0.17422	-0.179754
0.17461	-0.179754
0.17467	-0.179754
0.17427	-0.179754
0.17462	-0.179754
0.1745	-0.179754
0.17462	-0.179754
0.17429	-0.179754
0.17464	-0.179754
0.17451	-0.179754
0.17461	-0.179754
0.17509	-0.179695
0.17461	-0.179438
0.17499	-0.179419
0.17516	-0.179419
0.17462	-0.179399
0.17468	-0.179359
0.17465	-0.17934
0.17493	-0.179202
0.17418	-0.178492
0.17934	-0.176835
0.177	-0.175592
0.17946	-0.175336
0.17938	-0.175316
0.18082	-0.174961
0.18341	-0.173481
0.18248	-0.171982
0.18338	-0.170562
0.18033	-0.168491
0.17712	-0.166913
0.17712	-0.166913
0.17744	-0.166913
0.17722	-0.166913
0.17712	-0.166913
0.17702	-0.166913
0.177	-0.166913
0.17694	-0.166913
0.177	-0.166913
0.17677	-0.166913
0.1769	-0.166913
0.17694	-0.166913
0.17737	-0.166913
0.1769	-0.166913
0.17686	-0.166913
0.17722	-0.166913
0.17662	-0.166913
0.1769	-0.166913
0.17685	-0.166913
0.17683	-0.166913
0.17757	-0.166913
0.17723	-0.166913
0.17744	-0.166873
0.17834	-0.166676
0.17934	-0.166084
0.17798	-0.16569
0.17421	-0.165098
0.17314	-0.164428
0.17325	-0.163777
0.17355	-0.163639
0.17387	-0.163461
0.17145	-0.162633
0.16791	-0.160778
0.16747	-0.159536
0.16721	-0.159398
0.16675	-0.159062
0.16672	-0.158017
0.16708	-0.157228
0.16725	-0.157208
0.16762	-0.156991
0.16824	-0.156577
0.16881	-0.155394
0.17424	-0.153618
0.1777	-0.152415
0.17773	-0.152376
0.17798	-0.152376
0.1779	-0.152376
0.17787	-0.152376
0.17799	-0.152376
0.17795	-0.152376
0.17776	-0.152376
0.17755	-0.152376
