Time (s) rumore_abientale_1.5_candela	Light Intensity (% of scale max) rumore_abientale_1.5_candela
24.8	1.37447
24.84	1.34117
24.88	1.3199
24.92	1.33829
24.96	1.35751
25.0	1.37787
25.04	1.40945
25.08	1.40094
25.12	1.37825
25.16	1.34088
25.2	1.31842
25.24	1.33128
25.28	1.35048
25.32	1.37384
25.36	1.40245
25.4	1.39035
25.44	1.37102
25.48	1.33507
25.52	1.31194
25.56	1.32536
25.6	1.3463
25.64	1.36725
25.68	1.39618
25.72	1.39073
25.76	1.37003
25.8	1.33168
25.84	1.30795
25.88	1.3226
25.92	1.3423
25.96	1.36337
26.0	1.39607
26.04	1.39336
26.08	1.36871
26.12	1.33543
26.16	1.30821
26.2	1.32463
26.24	1.34282
26.28	1.3586
26.32	1.37572
26.36	1.37061
26.4	1.34793
26.44	1.33041
26.48	1.29446
26.52	1.30869
26.56	1.32562
26.6	1.35124
26.64	1.38463
26.68	1.38875
26.72	1.36795
26.76	1.33508
26.8	1.2995
26.84	1.31728
26.88	1.33507
26.92	1.35645
26.96	1.38675
27.0	1.39407
27.04	1.37218
27.08	1.34622
27.12	1.30692
27.16	1.32021
27.2	1.33914
27.24	1.36008
27.28	1.38878
27.32	1.39714
27.36	1.37778
27.4	1.34647
27.44	1.30937
27.48	1.3205
27.52	1.33754
27.56	1.35785
27.6	1.38689
27.64	1.40387
27.68	1.39003
27.72	1.35304
27.76	1.32971
27.8	1.32339
27.84	1.33893
27.88	1.36092
27.92	1.38666
27.96	1.40327
28.0	1.39026
28.04	1.35445
28.08	1.33421
28.12	1.32088
28.16	1.33627
28.2	1.35768
28.24	1.38286
28.28	1.40604
28.32	1.39299
28.36	1.37114
28.4	1.33565
28.44	1.32391
28.48	1.33873
28.52	1.36072
28.56	1.38449
28.6	1.40775
28.64	1.39619
28.68	1.36783
28.72	1.33928
28.76	1.31885
28.8	1.33496
28.84	1.35651
28.88	1.38399
28.92	1.40836
28.96	1.39742
29.0	1.37363
29.04	1.3351
29.08	1.31769
29.12	1.33389
29.16	1.35559
29.2	1.37953
29.24	1.40564
29.28	1.40024
29.32	1.37111
29.36	1.34395
29.4	1.32339
29.44	1.33673
29.48	1.35683
29.52	1.38086
29.56	1.40652
29.6	1.40094
29.64	1.37057
29.68	1.3492
29.72	1.31783
29.76	1.33487
29.8	1.35184
29.84	1.37128
29.88	1.39851
29.92	1.39195
29.96	1.3671
30.0	1.33615
30.04	1.3049
30.08	1.3196
30.12	1.34013
30.16	1.36177
30.2	1.39105
30.24	1.38741
30.28	1.36792
30.32	1.32971
30.36	1.3029
30.4	1.31837
30.44	1.33853
30.48	1.36072
30.52	1.39175
30.56	1.39322
30.6	1.37433
30.64	1.33641
30.68	1.31099
30.72	1.3251
30.76	1.34482
30.8	1.36586
30.84	1.39812
30.88	1.405
30.92	1.38072
30.96	1.35556
31.0	1.32254
31.04	1.33548
31.08	1.35535
31.12	1.37755
31.16	1.40953
31.2	1.41632
31.24	1.39296
31.28	1.36855
31.32	1.32961
31.36	1.34201
31.4	1.36172
31.44	1.3831
31.48	1.41325
31.52	1.4165
31.56	1.39902
31.6	1.35986
31.64	1.33537
31.68	1.34196
31.72	1.36121
31.76	1.38419
31.8	1.41708
31.84	1.42139
31.88	1.40517
31.92	1.36823
31.96	1.34435
32.0	1.34743
32.04	1.36455
32.08	1.3862
32.12	1.41472
32.16	1.41879
32.2	1.39391
32.24	1.35941
32.28	1.3196
32.32	1.32037
32.36	1.33347
32.4	1.35126
32.44	1.37941
32.48	1.38719
32.52	1.36995
32.56	1.3302
32.6	1.30586
32.64	1.30687
32.68	1.325
32.72	1.34755
32.76	1.3765
32.8	1.38358
32.84	1.36557
32.88	1.33914
32.92	1.30798
32.96	1.30565
33.0	1.32475
33.04	1.34807
33.08	1.37891
33.12	1.39441
33.16	1.38022
33.2	1.35185
33.24	1.32152
33.28	1.317
33.32	1.33426
33.36	1.35533
33.4	1.38486
33.44	1.39993
33.48	1.38515
33.52	1.34555
33.56	1.32246
33.6	1.31546
33.64	1.3316
33.68	1.35196
33.72	1.38042
33.76	1.39532
33.8	1.38036
33.84	1.34511
33.88	1.31767
33.92	1.31088
33.96	1.32765
34.0	1.34753
34.04	1.37617
34.08	1.39267
34.12	1.37721
34.16	1.34181
34.2	1.31117
34.24	1.30731
34.28	1.32217
34.32	1.34488
34.36	1.37398
34.4	1.38644
34.44	1.3709
34.48	1.34532
34.52	1.30966
34.56	1.30836
34.6	1.32399
34.64	1.34566
34.68	1.37309
34.72	1.38261
34.76	1.36484
34.8	1.33754
34.84	1.30084
34.88	1.29733
34.92	1.31253
34.96	1.33356
35.0	1.36018
35.04	1.3685
35.08	1.35172
35.12	1.31902
35.16	1.28468
35.2	1.28128
35.24	1.29825
35.28	1.3183
35.32	1.34587
35.36	1.36115
35.4	1.34785
35.44	1.31078
35.48	1.28716
35.52	1.27727
35.56	1.29405
35.6	1.31749
35.64	1.34698
35.68	1.36873
35.72	1.35968
35.76	1.32678
35.8	1.30347
35.84	1.29558
35.88	1.31273
35.92	1.33762
35.96	1.36763
36.0	1.38689
36.04	1.37379
36.08	1.34724
36.12	1.31264
36.16	1.30478
36.2	1.31944
36.24	1.34152
36.28	1.36902
36.32	1.38889
36.36	1.37602
36.4	1.35229
36.44	1.31775
36.48	1.3054
36.52	1.32968
36.56	1.35347
36.6	1.38306
36.64	1.40494
36.68	1.39696
36.72	1.36397
36.76	1.34479
36.8	1.32124
36.84	1.3493
36.88	1.37395
36.92	1.40543
36.96	1.42883
37.0	1.4232
37.04	1.39157
37.08	1.37401
37.12	1.35243
37.16	1.38181
37.2	1.40852
37.24	1.43761
37.28	1.45697
37.32	1.44707
37.36	1.4175
37.4	1.38692
37.44	1.37024
37.48	1.39113
37.52	1.41191
37.56	1.43953
37.6	1.45914
37.64	1.44695
37.68	1.40965
37.72	1.38675
37.76	1.36261
37.8	1.38861
37.84	1.41063
37.88	1.43738
37.92	1.45584
37.96	1.4424
38.0	1.40622
38.04	1.38412
38.08	1.3627
38.12	1.38818
38.16	1.40881
38.2	1.43556
38.24	1.45439
38.28	1.44032
38.32	1.40268
38.36	1.38043
38.4	1.35754
38.44	1.3846
38.48	1.40402
38.52	1.43208
38.56	1.44824
38.6	1.43709
38.64	1.4019
38.68	1.37305
38.72	1.35831
38.76	1.38136
38.8	1.40341
38.84	1.4315
38.88	1.44688
38.92	1.43234
38.96	1.40578
39.0	1.37051
39.04	1.35507
39.08	1.37901
39.12	1.39969
39.16	1.4287
39.2	1.44667
39.24	1.43433
39.28	1.40428
39.32	1.36765
39.36	1.35565
39.4	1.37892
39.44	1.39958
39.48	1.42671
39.52	1.44479
39.56	1.42757
39.6	1.39253
39.64	1.36632
39.68	1.35002
39.72	1.37173
39.76	1.39224
39.8	1.41809
39.84	1.43422
39.88	1.41776
39.92	1.38052
39.96	1.35655
40.0	1.33664
40.04	1.36058
40.08	1.38226
40.12	1.41
40.16	1.42491
40.2	1.40903
40.24	1.38318
40.28	1.34677
40.32	1.33458
40.36	1.36122
40.4	1.38504
40.44	1.41685
40.48	1.43224
40.52	1.41995
40.56	1.39467
40.6	1.36026
40.64	1.3515
40.68	1.3765
40.72	1.3998
40.76	1.42963
40.8	1.44626
40.84	1.43193
40.88	1.4082
40.92	1.37352
40.96	1.36279
41.0	1.38776
41.04	1.41115
41.08	1.44165
41.12	1.45609
41.16	1.44383
41.2	1.41936
41.24	1.38326
41.28	1.3727
41.32	1.39737
41.36	1.41788
41.4	1.4456
41.44	1.46361
41.48	1.44756
41.52	1.41345
41.56	1.3866
41.6	1.36928
41.64	1.39313
41.68	1.41705
41.72	1.4435
41.76	1.45892
41.8	1.44243
41.84	1.4077
41.88	1.38206
41.92	1.36528
41.96	1.39174
42.0	1.41354
42.04	1.44414
42.08	1.4563
42.12	1.4391
42.16	1.41354
42.2	1.37544
42.24	1.36826
42.28	1.39229
42.32	1.41318
42.36	1.4413
42.4	1.45584
42.44	1.44083
42.48	1.40707
42.52	1.3744
42.56	1.36569
42.6	1.39073
42.64	1.4127
42.68	1.44348
42.72	1.45493
42.76	1.43697
42.8	1.40663
42.84	1.37651
42.88	1.36324
42.92	1.39093
42.96	1.41197
43.0	1.44078
43.04	1.45512
43.08	1.44023
43.12	1.40196
43.16	1.37872
43.2	1.36452
43.24	1.39116
43.28	1.41188
43.32	1.44127
43.36	1.45587
43.4	1.44238
43.44	1.40883
43.48	1.37854
43.52	1.36642
43.56	1.396
43.6	1.41879
43.64	1.45024
43.68	1.45824
43.72	1.43956
43.76	1.41132
43.8	1.37643
43.84	1.36861
43.88	1.39674
43.92	1.4175
43.96	1.44685
44.0	1.45541
44.04	1.43631
44.08	1.40262
44.12	1.37161
44.16	1.36418
44.2	1.38867
44.24	1.41049
44.28	1.43796
44.32	1.44812
44.36	1.43066
44.4	1.39041
44.44	1.36746
44.48	1.35616
44.52	1.38263
44.56	1.40425
44.6	1.43593
44.64	1.44138
