Time (s) rumore_di_fondo_lampadina	Light Intensity (% of scale max) rumore_di_fondo_lampadina
31.88	0.04335
31.92	0.04303
31.96	0.04321
32.0	0.0435
32.04	0.04315
32.08	0.04329
32.12	0.04361
32.16	0.04343
32.2	0.04317
32.24	0.04372
32.28	0.04323
32.32	0.04376
32.36	0.04321
32.4	0.04315
32.44	0.04361
32.48	0.04352
32.52	0.04352
32.56	0.04326
32.6	0.0435
32.64	0.04329
32.68	0.04289
32.72	0.04358
32.76	0.04321
32.8	0.0432
32.84	0.0432
32.88	0.0435
32.92	0.04344
32.96	0.04301
33.0	0.04344
33.04	0.04321
33.08	0.04349
33.12	0.04333
33.16	0.04317
33.2	0.04353
33.24	0.04353
33.28	0.0433
33.32	0.04329
33.36	0.0433
33.4	0.04305
33.44	0.04326
33.48	0.04356
33.52	0.04399
33.56	0.04332
33.6	0.04355
33.64	0.04355
33.68	0.04318
33.72	0.04344
33.76	0.04335
33.8	0.04352
33.84	0.04338
33.88	0.04323
33.92	0.04323
33.96	0.04312
34.0	0.0433
34.04	0.04285
34.08	0.04317
34.12	0.04318
34.16	0.04317
34.2	0.04315
34.24	0.04305
34.28	0.04311
34.32	0.04337
34.36	0.04312
34.4	0.04309
34.44	0.04337
34.48	0.04321
34.52	0.04341
34.56	0.04333
34.6	0.04323
34.64	0.04341
34.68	0.04335
34.72	0.04333
34.76	0.04327
34.8	0.04303
34.84	0.04364
34.88	0.04314
34.92	0.04356
34.96	0.04362
35.0	0.04379
35.04	0.04391
35.08	0.04369
35.12	0.04335
35.16	0.04364
35.2	0.04362
35.24	0.04364
35.28	0.04393
35.32	0.04388
35.36	0.04358
35.4	0.04358
35.44	0.0435
35.48	0.04323
35.52	0.04333
35.56	0.04353
35.6	0.0435
35.64	0.04352
35.68	0.04349
35.72	0.04332
35.76	0.0437
35.8	0.04355
35.84	0.04291
35.88	0.0435
35.92	0.04323
35.96	0.04318
36.0	0.04317
36.04	0.04344
36.08	0.04381
36.12	0.04318
36.16	0.04333
36.2	0.04311
36.24	0.0435
36.28	0.04381
36.32	0.04352
36.36	0.04353
36.4	0.04326
36.44	0.04311
36.48	0.04335
36.52	0.0434
36.56	0.0435
36.6	0.0437
36.64	0.04376
36.68	0.04346
36.72	0.04362
36.76	0.04379
36.8	0.04376
36.84	0.04367
36.88	0.04366
36.92	0.04338
36.96	0.04369
37.0	0.04373
37.04	0.04387
37.08	0.04407
37.12	0.04387
37.16	0.04405
37.2	0.04404
37.24	0.04391
37.28	0.04404
37.32	0.04399
37.36	0.04398
37.4	0.04364
37.44	0.04366
37.48	0.04417
37.52	0.04344
37.56	0.04417
37.6	0.0441
37.64	0.04384
37.68	0.04384
37.72	0.04416
37.76	0.04449
37.8	0.0441
37.84	0.04442
37.88	0.04437
37.92	0.04459
37.96	0.0442
38.0	0.04408
38.04	0.0442
38.08	0.04448
38.12	0.04428
38.16	0.04451
38.2	0.04411
38.24	0.04456
38.28	0.0444
38.32	0.04431
38.36	0.04472
38.4	0.04379
38.44	0.04428
38.48	0.04451
38.52	0.04405
38.56	0.04431
38.6	0.04462
38.64	0.0444
38.68	0.04404
38.72	0.04413
38.76	0.04384
38.8	0.04416
38.84	0.04416
38.88	0.04428
38.92	0.04478
38.96	0.04446
39.0	0.04442
39.04	0.04434
39.08	0.04387
39.12	0.04425
39.16	0.0444
39.2	0.04442
39.24	0.04439
39.28	0.04471
39.32	0.04486
39.36	0.04437
39.4	0.04449
39.44	0.04456
39.48	0.04442
39.52	0.04416
39.56	0.04468
39.6	0.04463
39.64	0.04437
39.68	0.04391
39.72	0.04475
39.76	0.04465
39.8	0.04417
39.84	0.0442
39.88	0.04437
39.92	0.04472
39.96	0.04413
40.0	0.04422
40.04	0.04456
40.08	0.04442
40.12	0.0446
40.16	0.0443
40.2	0.04449
40.24	0.0439
40.28	0.0443
40.32	0.04408
40.36	0.04419
40.4	0.0437
40.44	0.04457
40.48	0.04448
40.52	0.04449
40.56	0.04437
40.6	0.04446
40.64	0.04437
40.68	0.04433
40.72	0.04384
40.76	0.04411
40.8	0.0442
40.84	0.04419
40.88	0.04443
40.92	0.04462
40.96	0.04428
41.0	0.04445
41.04	0.04448
41.08	0.04439
41.12	0.04407
41.16	0.04433
41.2	0.04425
41.24	0.04385
41.28	0.0444
41.32	0.04364
41.36	0.0441
41.4	0.04408
41.44	0.04399
41.48	0.0442
41.52	0.0439
41.56	0.04401
41.6	0.0437
41.64	0.04376
41.68	0.04404
41.72	0.0441
41.76	0.04416
41.8	0.04422
41.84	0.0441
41.88	0.04387
41.92	0.04407
41.96	0.04422
42.0	0.04407
42.04	0.04402
42.08	0.04425
42.12	0.04362
42.16	0.04434
42.2	0.04404
42.24	0.04395
42.28	0.04408
42.32	0.04376
42.36	0.04395
42.4	0.04414
42.44	0.04405
42.48	0.04431
42.52	0.04359
42.56	0.04366
42.6	0.04416
42.64	0.04456
42.68	0.04404
42.72	0.04422
42.76	0.04384
42.8	0.04404
42.84	0.04353
42.88	0.04398
42.92	0.04433
42.96	0.04404
43.0	0.04427
43.04	0.04448
43.08	0.04422
43.12	0.04434
43.16	0.04437
43.2	0.04433
43.24	0.04411
43.28	0.04413
43.32	0.04385
43.36	0.0444
43.4	0.04419
43.44	0.04434
43.48	0.04393
43.52	0.04413
43.56	0.04433
43.6	0.04431
43.64	0.04411
43.68	0.04388
43.72	0.0446
43.76	0.04436
43.8	0.04428
43.84	0.04448
43.88	0.04431
43.92	0.04443
43.96	0.0446
44.0	0.0448
44.04	0.04466
44.08	0.04459
44.12	0.04443
44.16	0.04454
44.2	0.04498
44.24	0.04477
44.28	0.04477
44.32	0.04443
44.36	0.04471
44.4	0.04456
44.44	0.04474
44.48	0.04459
44.52	0.04442
44.56	0.04475
44.6	0.04482
44.64	0.04482
44.68	0.04474
44.72	0.0442
44.76	0.04448
44.8	0.04445
44.84	0.0446
44.88	0.04427
44.92	0.04414
44.96	0.04472
45.0	0.04407
45.04	0.04431
45.08	0.04446
45.12	0.04449
45.16	0.04446
45.2	0.04443
45.24	0.04466
45.28	0.0446
45.32	0.04442
45.36	0.0442
45.4	0.0442
45.44	0.0443
45.48	0.04402
45.52	0.04416
45.56	0.04414
45.6	0.04402
45.64	0.04393
45.68	0.04388
45.72	0.04376
45.76	0.04398
45.8	0.04391
45.84	0.0439
45.88	0.04376
45.92	0.04364
45.96	0.04379
46.0	0.04346
46.04	0.04367
