Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
2.09715	-0.096909
2.08484	-0.097185
2.07779	-0.097323
2.07375	-0.097343
2.07146	-0.097343
2.06747	-0.097343
2.0705	-0.097323
2.06781	-0.097323
2.06967	-0.097323
2.07602	-0.097323
2.07613	-0.097323
2.07306	-0.097323
2.06363	-0.097323
2.0865	-0.097323
2.08743	-0.097343
2.05672	-0.097402
2.00436	-0.097895
1.9866	-0.09823
1.98898	-0.098309
1.9314	-0.098881
1.85747	-0.099592
1.78342	-0.100045
1.74733	-0.100459
1.7242	-0.100676
1.69412	-0.100913
1.68211	-0.100972
1.66756	-0.100972
1.67862	-0.100972
1.67224	-0.101031
1.65092	-0.10115
1.59645	-0.101485
1.55109	-0.10182
1.55281	-0.10182
1.54375	-0.101801
1.54832	-0.101801
1.55272	-0.101801
1.5592	-0.101801
1.56352	-0.101801
1.53763	-0.101801
1.53229	-0.101801
1.54019	-0.10182
1.55287	-0.10186
1.4622	-0.102432
1.29878	-0.103024
1.26328	-0.103201
1.14394	-0.103576
1.12537	-0.103675
1.07071	-0.103852
0.96191	-0.104247
0.94179	-0.104345
0.89645	-0.104523
0.81859	-0.104819
0.76781	-0.104996
0.70335	-0.105253
0.58356	-0.105568
0.54572	-0.105746
0.5434	-0.105765
0.54189	-0.105746
0.53844	-0.105746
0.53583	-0.105726
0.53667	-0.105687
0.53972	-0.105687
0.53711	-0.105687
0.53543	-0.105687
0.53967	-0.105687
0.53943	-0.105706
0.54321	-0.105726
0.53986	-0.105765
0.42348	-0.10616
0.29787	-0.106811
0.27371	-0.106949
0.21844	-0.107304
0.18353	-0.10756
0.13879	-0.107955
0.09789	-0.108448
0.08344	-0.108626
0.07684	-0.108704
0.06105	-0.109
0.05331	-0.109158
0.04878	-0.109316
0.0416	-0.109533
0.0414	-0.109553
0.0415	-0.109553
0.04207	-0.109533
0.04329	-0.109237
0.04257	-0.109217
0.04193	-0.109257
0.04227	-0.109217
0.04225	-0.109217
0.04237	-0.109217
0.04321	-0.109276
0.04358	-0.109296
0.0442	-0.109336
0.04254	-0.109513
0.03589	-0.109789
0.03098	-0.11048
0.03165	-0.110776
0.03575	-0.11117
0.04701	-0.11186
0.05183	-0.112117
0.05891	-0.112373
0.06812	-0.112728
0.07338	-0.112886
0.08623	-0.113221
0.09956	-0.113557
0.11133	-0.113813
0.1321	-0.114267
0.14273	-0.114523
0.14243	-0.114523
0.14084	-0.114484
0.1395	-0.114484
0.1422	-0.114287
0.14316	-0.114287
0.14372	-0.114287
