Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.29478	-0.067262
0.29596	-0.067262
0.29536	-0.067243
0.29544	-0.067243
0.29489	-0.067243
0.29535	-0.067243
0.29591	-0.067243
0.29582	-0.067243
0.29567	-0.067243
0.29546	-0.067243
0.29482	-0.067243
0.29477	-0.067262
0.29556	-0.067262
0.29695	-0.067282
0.28354	-0.067657
0.22571	-0.067972
0.21564	-0.06811
0.22165	-0.068505
0.21628	-0.068682
0.13792	-0.069274
0.10809	-0.06957
0.10786	-0.06961
0.10335	-0.069807
0.09924	-0.069846
0.09848	-0.069846
0.09979	-0.069846
0.09947	-0.069826
0.09976	-0.069826
0.0983	-0.069807
0.09846	-0.069807
0.09685	-0.069807
0.0976	-0.069807
0.09746	-0.069807
0.09947	-0.069807
0.09956	-0.069826
0.09857	-0.069826
0.09787	-0.069846
0.08914	-0.069925
0.05904	-0.070615
0.06781	-0.070832
0.12399	-0.071089
0.17445	-0.071326
0.20567	-0.071464
0.22372	-0.07172
0.22302	-0.07174
0.22855	-0.071977
0.34758	-0.072351
0.4554	-0.072608
0.47404	-0.073042
0.45961	-0.073101
0.4592	-0.073101
0.45808	-0.073081
0.45796	-0.073081
0.45848	-0.073081
0.45758	-0.073081
0.4583	-0.073081
0.45872	-0.073081
0.45869	-0.073081
0.45822	-0.073081
0.45877	-0.073081
0.45857	-0.073081
0.45796	-0.073081
0.45816	-0.073121
0.49521	-0.073298
0.59993	-0.073614
0.62267	-0.073693
0.63449	-0.073988
0.59152	-0.074146
0.54837	-0.074639
0.59834	-0.075152
0.45369	-0.075566
0.40967	-0.075764
0.42261	-0.075961
0.42165	-0.07606
0.40369	-0.076237
0.39618	-0.076237
0.39639	-0.076237
0.39426	-0.076237
0.39211	-0.076237
0.39474	-0.076217
0.39287	-0.076217
0.39215	-0.076217
0.39368	-0.076217
0.39488	-0.076237
0.39307	-0.076237
0.39032	-0.076237
0.38887	-0.076237
0.37279	-0.076277
0.25261	-0.076553
0.1945	-0.076888
0.1944	-0.076947
0.1801	-0.077243
0.09012	-0.077914
0.09123	-0.078387
0.16856	-0.078722
0.2766	-0.079018
0.29388	-0.079078
0.31047	-0.079235
0.3114	-0.079275
0.3114	-0.079275
0.31091	-0.079275
0.31026	-0.079275
0.31001	-0.079275
0.31038	-0.079275
0.31133	-0.079275
0.31067	-0.079275
0.30978	-0.079275
0.30978	-0.079275
0.3096	-0.079275
0.30971	-0.079275
0.31015	-0.079275
0.31133	-0.079334
0.54742	-0.079788
0.84796	-0.080064
1.00873	-0.0803
1.00078	-0.080498
1.00597	-0.080833
1.5508	-0.081149
1.87527	-0.081326
1.70145	-0.08174
1.82912	-0.082056
2.13422	-0.082273
2.10909	-0.082648
2.0667	-0.082667
2.07254	-0.082648
2.07651	-0.082648
2.05322	-0.082648
2.04266	-0.082648
2.0766	-0.082648
2.0558	-0.082648
2.06508	-0.082648
2.05284	-0.082648
2.06609	-0.082648
2.05653	-0.082648
2.06161	-0.082648
2.06183	-0.082648
2.02959	-0.082687
1.85403	-0.082924
1.76767	-0.083318
1.77744	-0.083338
1.68401	-0.083614
0.89287	-0.084088
0.82736	-0.084167
0.78325	-0.084541
0.72089	-0.084739
0.67125	-0.084857
0.50467	-0.084975
0.49892	-0.084995
0.36093	-0.085113
0.23239	-0.08537
0.23615	-0.08535
0.23018	-0.08535
0.22681	-0.08535
0.22925	-0.08535
0.22696	-0.08535
0.22536	-0.08535
0.22328	-0.08535
0.22621	-0.08535
0.22705	-0.08535
0.2253	-0.08535
0.22473	-0.08535
0.22939	-0.085488
0.91521	-0.086119
1.52724	-0.086415
1.70596	-0.086612
1.71552	-0.086672
1.72353	-0.086711
2.08611	-0.087106
5.35059	-0.087421
6.51537	-0.087776
6.31538	-0.088052
6.31848	-0.088052
6.32121	-0.088052
6.29491	-0.088052
6.33727	-0.088052
6.33763	-0.088052
6.34738	-0.088052
6.34111	-0.088052
6.34857	-0.088052
6.33597	-0.088052
6.33623	-0.088052
6.34354	-0.088052
6.34572	-0.088052
6.33406	-0.088052
6.33572	-0.088052
6.33353	-0.088052
6.68243	-0.08819
8.15115	-0.088407
10.48674	-0.088585
14.09543	-0.08892
13.58571	-0.089256
14.06921	-0.089413
18.25966	-0.089709
24.31781	-0.089985
24.60782	-0.090084
23.91435	-0.090222
23.98705	-0.090222
24.01627	-0.090202
23.90068	-0.090202
23.68753	-0.090202
23.75397	-0.090202
23.74287	-0.090202
23.74992	-0.090202
23.80957	-0.090202
23.90543	-0.090202
23.97516	-0.090202
23.92163	-0.090202
23.84825	-0.090202
23.73637	-0.090222
23.25282	-0.090281
21.86736	-0.090636
29.09602	-0.090972
30.91847	-0.091031
32.6851	-0.091129
33.15878	-0.091169
30.84949	-0.091445
28.12349	-0.091859
32.5914	-0.092116
36.56949	-0.092274
38.23373	-0.092352
38.40167	-0.092352
38.4828	-0.092333
38.57875	-0.092333
38.59195	-0.092333
38.40526	-0.092333
38.44456	-0.092333
38.46042	-0.092333
38.37341	-0.092333
38.28264	-0.092333
38.29868	-0.092333
38.35219	-0.092333
38.35394	-0.092333
38.49585	-0.092392
30.22112	-0.092964
30.1429	-0.093141
31.02885	-0.09324
36.14093	-0.093516
38.26315	-0.093595
38.43356	-0.093773
35.46956	-0.09395
33.16803	-0.09399
27.71315	-0.094424
28.81667	-0.094581
29.21892	-0.094601
30.42358	-0.09468
30.49428	-0.09468
30.45576	-0.09468
30.56798	-0.09468
30.71983	-0.09468
30.92993	-0.09468
31.01131	-0.09468
30.61703	-0.09468
30.7334	-0.09468
30.80461	-0.09468
30.89355	-0.09468
30.74191	-0.09468
30.68246	-0.09468
30.77399	-0.09468
30.81142	-0.09468
30.8219	-0.09468
30.87364	-0.09468
30.78847	-0.09468
30.78915	-0.09468
30.69528	-0.09468
30.78897	-0.0947
31.25542	-0.094759
31.68555	-0.094798
32.22917	-0.094858
27.69113	-0.095232
21.10564	-0.095647
20.94478	-0.095706
22.12677	-0.095962
17.14804	-0.096495
13.85349	-0.096731
13.35638	-0.097106
13.9901	-0.097244
13.98134	-0.097244
14.0121	-0.097244
14.03885	-0.097244
14.04733	-0.097244
14.04648	-0.097244
14.06152	-0.097244
14.07004	-0.097244
14.07069	-0.097244
14.04883	-0.097244
14.04994	-0.097244
14.02577	-0.097244
14.0619	-0.097244
14.0657	-0.097244
13.93799	-0.097382
9.67401	-0.097797
8.50459	-0.097856
7.02083	-0.097954
6.20302	-0.098112
6.1194	-0.098566
4.93228	-0.098822
3.29102	-0.099079
1.72183	-0.099335
1.6562	-0.099572
1.31842	-0.099927
1.11613	-0.100025
0.89407	-0.100104
0.90446	-0.100104
0.89377	-0.100085
0.85886	-0.100085
0.87192	-0.100085
0.86389	-0.100085
0.85762	-0.100085
0.84322	-0.100085
0.83752	-0.100085
0.85516	-0.100085
0.84358	-0.100085
0.84358	-0.100085
0.60155	-0.100164
0.18616	-0.100913
0.21449	-0.101071
0.2486	-0.10115
0.35226	-0.101288
0.42816	-0.101406
0.54373	-0.101959
0.96019	-0.102392
1.43716	-0.102708
1.4718	-0.103043
1.42444	-0.103181
1.45279	-0.1033
1.45216	-0.10328
1.46255	-0.10328
1.46503	-0.10328
1.46423	-0.10328
1.46884	-0.10328
1.46739	-0.10328
1.46764	-0.10328
1.4556	-0.10328
1.4528	-0.10328
1.45309	-0.10328
1.45738	-0.10328
1.46727	-0.1033
1.92015	-0.103596
2.15308	-0.103852
2.14062	-0.10397
1.86433	-0.104247
1.79562	-0.104306
1.83858	-0.104641
1.88388	-0.105115
1.57936	-0.105351
1.19228	-0.105706
1.14671	-0.105805
1.14296	-0.105805
1.14413	-0.105805
1.14343	-0.105805
1.14377	-0.105785
1.14291	-0.105785
1.14447	-0.105785
1.14612	-0.105785
1.14699	-0.105785
1.14793	-0.105785
1.14577	-0.105785
1.14368	-0.105785
1.14401	-0.105785
1.14465	-0.105805
1.15875	-0.105963
0.3942	-0.106831
0.3694	-0.106969
0.36346	-0.107067
0.34657	-0.107265
0.33694	-0.107304
0.2619	-0.107501
0.19008	-0.107639
0.13397	-0.107777
0.07231	-0.108054
0.06714	-0.108073
0.06422	-0.108093
0.06421	-0.108093
0.06436	-0.108093
0.06381	-0.108054
0.0639	-0.108054
0.06404	-0.108054
0.06432	-0.108054
0.06357	-0.108054
0.06372	-0.108054
0.06424	-0.108054
0.0645	-0.108093
0.06453	-0.108093
0.06259	-0.108132
0.17694	-0.108902
0.2475	-0.109158
0.25377	-0.109316
0.26503	-0.109592
0.2789	-0.109651
0.37869	-0.109967
0.51717	-0.110184
0.56898	-0.110302
0.53513	-0.110657
0.53625	-0.110815
0.54556	-0.110874
0.54333	-0.110874
0.54678	-0.110854
0.54968	-0.110815
0.54799	-0.110815
0.55049	-0.110815
0.55367	-0.110815
0.55612	-0.110815
0.55472	-0.110815
0.55873	-0.110815
0.55893	-0.110815
0.55829	-0.110815
0.55482	-0.110815
0.55458	-0.110815
0.55011	-0.110854
0.5497	-0.110874
0.55246	-0.110894
0.73248	-0.111505
0.60176	-0.111979
0.64922	-0.112531
0.53659	-0.112985
0.44321	-0.113182
0.43716	-0.11334
0.44559	-0.113478
0.4511	-0.113498
0.45476	-0.113596
0.45013	-0.113655
0.45143	-0.113655
0.44958	-0.113655
0.44881	-0.113636
0.45053	-0.113636
0.45055	-0.113636
0.45039	-0.113636
0.45036	-0.113636
0.45108	-0.113636
0.45216	-0.113655
0.45169	-0.113655
0.44675	-0.113715
0.2701	-0.114227
0.21657	-0.114405
0.20685	-0.114523
0.20544	-0.114799
0.19183	-0.114957
0.14221	-0.115194
0.08539	-0.11547
0.06058	-0.115963
0.06532	-0.116437
0.06995	-0.116614
0.07259	-0.116634
0.07428	-0.116713
0.07422	-0.116831
0.07516	-0.116831
0.07536	-0.116811
0.07538	-0.116792
0.07501	-0.116792
0.07497	-0.116792
0.07498	-0.116792
0.07533	-0.116792
0.07536	-0.116792
0.07515	-0.116811
0.07538	-0.116831
0.07532	-0.116831
0.09787	-0.117383
0.25037	-0.117896
0.25645	-0.118015
0.2558	-0.118232
0.2562	-0.118251
0.29926	-0.118429
0.40935	-0.118823
0.42935	-0.118981
0.39886	-0.119257
0.37085	-0.119455
0.37666	-0.119593
0.41399	-0.11981
0.43314	-0.119948
0.43532	-0.119948
0.43388	-0.119948
0.43449	-0.119928
0.43398	-0.119928
0.43362	-0.119928
0.43347	-0.119928
0.43431	-0.119928
0.43423	-0.119928
0.43478	-0.119928
0.43291	-0.119948
0.43251	-0.119948
0.43185	-0.119948
0.43378	-0.119987
0.27681	-0.120559
0.27614	-0.120954
0.25386	-0.121269
0.16684	-0.121624
0.14468	-0.121743
0.1207	-0.122157
0.11391	-0.122433
0.09882	-0.122571
0.05745	-0.122946
0.05098	-0.123084
0.05072	-0.123084
0.05048	-0.123064
0.0508	-0.123025
0.05045	-0.123025
0.0513	-0.123025
0.0513	-0.123025
0.05054	-0.123025
0.05127	-0.123025
0.05138	-0.123025
0.05116	-0.123025
0.05084	-0.123045
0.05087	-0.123064
0.0507	-0.123084
0.04732	-0.123439
0.05449	-0.12409
0.05496	-0.124149
0.0563	-0.124504
0.06128	-0.124721
0.09717	-0.125017
0.13901	-0.125352
0.14603	-0.125451
0.14787	-0.125727
0.15823	-0.126003
0.17574	-0.126102
0.19919	-0.126201
0.21593	-0.126279
0.214	-0.126279
0.21548	-0.126279
0.21529	-0.12622
0.2121	-0.12622
0.21596	-0.12622
0.21449	-0.12622
0.21391	-0.12622
0.2122	-0.12622
0.21385	-0.126279
0.21272	-0.126279
0.21443	-0.126279
0.22269	-0.126299
0.24252	-0.126851
0.25035	-0.127364
0.26147	-0.127483
0.2704	-0.12766
0.26192	-0.127779
0.23091	-0.127996
0.17197	-0.128449
0.17484	-0.128607
0.17677	-0.128804
0.13362	-0.129159
0.13261	-0.129159
0.13153	-0.129159
0.12895	-0.12914
0.12857	-0.12908
0.13174	-0.12908
0.13008	-0.12908
0.13103	-0.12908
0.13016	-0.12908
0.12975	-0.12908
0.12932	-0.12914
0.12997	-0.129159
0.12788	-0.129159
0.09245	-0.129357
0.08427	-0.12983
0.07426	-0.130126
0.04869	-0.130481
0.04341	-0.130856
0.04256	-0.131013
0.04247	-0.13129
0.04419	-0.131526
0.0468	-0.131763
0.04971	-0.132118
0.05005	-0.132217
0.05089	-0.132236
0.05159	-0.132236
0.05157	-0.132217
0.05156	-0.132157
0.05133	-0.132157
0.05174	-0.132157
0.05142	-0.132157
0.05159	-0.132157
0.0517	-0.132217
0.05138	-0.132236
0.05132	-0.132236
0.05737	-0.132572
0.11452	-0.133163
0.11139	-0.133321
0.12144	-0.133597
0.145	-0.133893
0.14851	-0.133933
0.15445	-0.13411
0.15202	-0.134189
0.13306	-0.134446
0.12738	-0.134741
0.13361	-0.134899
0.14357	-0.135195
0.14326	-0.135274
0.14288	-0.135274
0.14305	-0.135274
0.1432	-0.135195
0.14359	-0.135175
0.14337	-0.135175
0.14352	-0.135175
0.14398	-0.135175
0.1436	-0.135175
0.1436	-0.135254
0.14381	-0.135274
0.1438	-0.135274
0.14313	-0.135294
0.10991	-0.135767
0.10547	-0.136221
0.1059	-0.136536
0.0927	-0.136793
0.07555	-0.137148
0.07442	-0.137444
0.06371	-0.137937
0.05023	-0.138233
0.04558	-0.138627
0.04532	-0.138943
0.04507	-0.139042
0.04483	-0.139081
0.0453	-0.139081
0.04524	-0.139061
0.04446	-0.139022
0.04503	-0.139022
0.04482	-0.139022
0.04474	-0.139022
0.04504	-0.139022
0.04495	-0.139022
0.0451	-0.139022
0.04488	-0.139061
0.04474	-0.139081
0.04532	-0.13918
0.05156	-0.140087
0.06683	-0.14058
0.0681	-0.140994
0.08691	-0.141468
0.10132	-0.141724
0.10071	-0.142198
0.10103	-0.142336
0.10175	-0.142336
0.10167	-0.142336
0.10175	-0.142296
0.10187	-0.142296
0.10228	-0.142296
0.10223	-0.142296
0.1019	-0.142296
0.10136	-0.142296
0.10165	-0.142316
0.10071	-0.142336
0.10095	-0.142336
0.10107	-0.142336
0.10233	-0.142414
0.1151	-0.142691
0.13977	-0.143026
0.13759	-0.143223
0.12572	-0.143637
0.1312	-0.143914
0.1254	-0.144249
0.07964	-0.144801
0.07253	-0.145058
0.06955	-0.145334
0.04628	-0.145886
0.04057	-0.146044
0.04034	-0.146044
0.04028	-0.146044
0.04048	-0.146024
0.04044	-0.146024
0.04057	-0.146024
0.04039	-0.146024
0.04015	-0.146024
0.04031	-0.146024
0.04005	-0.146024
0.03998	-0.146024
0.04034	-0.146024
0.04034	-0.146044
0.04039	-0.146044
0.04051	-0.146044
0.04059	-0.146261
0.0406	-0.146793
0.04048	-0.146853
0.04121	-0.146912
0.04166	-0.14701
0.04207	-0.14705
0.04321	-0.147464
0.04826	-0.147661
0.0583	-0.147878
0.07173	-0.14851
0.07693	-0.148865
0.08916	-0.149338
0.08376	-0.149535
0.08493	-0.149535
0.08545	-0.149535
0.08495	-0.149516
0.08424	-0.149516
0.08493	-0.149516
0.08488	-0.149516
0.08473	-0.149516
0.08421	-0.149516
0.08485	-0.149516
0.08478	-0.149535
0.08513	-0.149535
0.08395	-0.149555
0.0842	-0.150088
0.09009	-0.150305
0.09439	-0.150521
0.09416	-0.1506
0.09344	-0.15062
0.08635	-0.151133
0.09361	-0.151449
0.09579	-0.151626
0.07863	-0.15206
0.07353	-0.152277
0.07228	-0.152494
0.07278	-0.152593
0.07292	-0.152593
0.07268	-0.152593
0.07271	-0.152593
0.07268	-0.152573
0.0726	-0.152533
0.07291	-0.152533
0.0726	-0.152533
0.07234	-0.152533
0.07245	-0.152533
0.07268	-0.152533
0.07251	-0.152553
0.07208	-0.152612
0.06267	-0.152888
0.04153	-0.153342
0.03719	-0.154072
0.0359	-0.154565
0.03561	-0.154841
0.03798	-0.155137
0.04211	-0.155275
0.05154	-0.155512
