Time (s) rumore_ambientale_candela	Light Intensity (% of scale max) rumore_ambientale_candela
24.0	3.75172
24.04	3.79919
24.08	3.7776
24.12	3.73405
24.16	3.69247
24.2	3.73729
24.24	3.793
24.28	3.79071
24.32	3.74715
24.36	3.69052
24.4	3.72226
24.44	3.77429
24.48	3.79648
24.52	3.75735
24.56	3.71004
24.6	3.70728
24.64	3.75966
24.68	3.80663
24.72	3.78706
24.76	3.7404
24.8	3.70334
24.84	3.7491
24.88	3.80708
24.92	3.80479
24.96	3.76169
25.0	3.70665
25.04	3.73439
25.08	3.78162
25.12	3.80724
25.16	3.76735
25.2	3.71541
25.24	3.7108
25.28	3.7556
25.32	3.80283
25.36	3.77502
25.4	3.73149
25.44	3.69508
25.48	3.73988
25.52	3.80061
25.56	3.79745
25.6	3.75586
25.64	3.70486
25.68	3.74025
25.72	3.79672
25.76	3.81828
25.8	3.78163
25.84	3.73529
25.88	3.72511
25.92	3.77481
25.96	3.81665
26.0	3.78767
26.04	3.73428
26.08	3.68567
26.12	3.72388
26.16	3.76782
26.2	3.75945
26.24	3.71022
26.28	3.65109
26.32	3.67383
26.36	3.72141
26.4	3.74753
26.44	3.71117
26.48	3.65715
26.52	3.65129
26.56	3.70247
26.6	3.74786
26.64	3.72139
26.68	3.67455
26.72	3.64505
26.76	3.69138
26.8	3.74936
26.84	3.74255
26.88	3.69722
26.92	3.64537
26.96	3.67998
27.0	3.73257
27.04	3.74973
27.08	3.71281
27.12	3.66307
27.16	3.6739
27.2	3.7218
27.24	3.76361
27.28	3.73492
27.32	3.68851
27.36	3.66501
27.4	3.70929
27.44	3.7661
27.48	3.75148
27.52	3.70639
27.56	3.65462
27.6	3.70332
27.64	3.75467
27.68	3.76755
27.72	3.72548
27.76	3.67612
27.8	3.6869
27.84	3.7437
27.88	3.77548
27.92	3.74287
27.96	3.69626
28.0	3.6857
28.04	3.73242
28.08	3.78339
28.12	3.76543
28.16	3.72197
28.2	3.67403
28.24	3.7213
28.28	3.77649
28.32	3.78513
28.36	3.74748
28.4	3.7012
28.44	3.7169
28.48	3.76405
28.52	3.80286
28.56	3.7717
28.6	3.72031
28.64	3.69585
28.68	3.74149
28.72	3.78979
28.76	3.77328
28.8	3.73016
28.84	3.69031
28.88	3.7317
28.92	3.78462
28.96	3.7952
29.0	3.75661
29.04	3.70555
29.08	3.72241
29.12	3.77248
29.16	3.81033
29.2	3.77974
29.24	3.73543
29.28	3.71774
29.32	3.76976
29.36	3.81833
29.4	3.80093
29.44	3.76054
29.48	3.71883
29.52	3.76169
29.56	3.81415
29.6	3.82196
29.64	3.78317
29.68	3.73137
29.72	3.75005
29.76	3.79771
29.8	3.83383
29.84	3.80058
29.88	3.75157
29.92	3.73669
29.96	3.78056
30.0	3.83096
30.04	3.81482
30.08	3.76849
30.12	3.71895
30.16	3.76059
30.2	3.81596
30.24	3.82303
30.28	3.78418
30.32	3.72969
30.36	3.74625
30.4	3.7989
30.44	3.82668
