Relative Intensity Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
0.0923767	-0.08682945
0.0980682	-0.08682945
0.0979767	-0.08682945
0.0998535	-0.08682945
0.1031952	-0.08682945
0.1020966	-0.08679
0.1023407	-0.08679
0.1046448	-0.08679
0.1044769	-0.08679
0.1047668	-0.08679
0.102829	-0.08679
0.1031036	-0.08679
0.1028748	-0.08679
0.1030731	-0.08679
0.1021576	-0.08680973
0.1066437	-0.08684918
0.1358337	-0.08696753
0.2025299	-0.08722395
0.2516327	-0.08740148
0.2853546	-0.08753955
0.3134155	-0.0876579
0.375473	-0.08799323
0.3874054	-0.08811158
0.3941345	-0.08824965
0.3927307	-0.08838773
0.3926849	-0.08842718
0.3826752	-0.08858498
0.3185425	-0.08897948
0.1630402	-0.08945288
0.1108856	-0.08957123
0.0975037	-0.08965013
0.0483704	-0.08996573
0.0432434	-0.09006435
0.0670319	-0.09032078
0.1508026	-0.0905772
0.205368	-0.09067583
0.4880676	-0.09099143
0.5827179	-0.0912084
0.630188	-0.09124785
0.7450714	-0.09138593
0.7776489	-0.09142538
0.7802277	-0.09142538
0.7816315	-0.09142538
0.785965	-0.09142538
0.7903595	-0.09142538
0.7709808	-0.09140565
0.7737579	-0.09140565
0.769928	-0.09140565
0.779953	-0.09140565
0.7860718	-0.09140565
0.7794189	-0.09140565
0.7726898	-0.09142538
0.7733307	-0.09142538
0.7668762	-0.09142538
0.7693634	-0.0914451
0.850235	-0.09164235
1.0541534	-0.0925497
0.7360992	-0.0929442
0.6936035	-0.09298365
0.5005798	-0.0931809
0.3579559	-0.09335843
0.2616577	-0.09347678
0.078949	-0.0938121
0.1947327	-0.09416715
0.546936	-0.09442358
0.8953247	-0.09456165
1.0363464	-0.09462083
1.599472	-0.09481808
1.9507751	-0.0949167
2.8090973	-0.09503505
5.1523895	-0.09540983
7.5585022	-0.09576488
7.7904816	-0.09580433
7.8182983	-0.09580433
7.8343048	-0.09580433
7.8904724	-0.0957846
8.014328	-0.0957846
7.9512634	-0.0957846
7.9918671	-0.0957846
8.0758972	-0.0957846
8.0834808	-0.0957846
8.072464	-0.0957846
8.044632	-0.0957846
8.0280762	-0.0957846
8.0399628	-0.0957846
8.0258179	-0.0957846
8.026062	-0.09580433
8.0383148	-0.09582405
9.1549377	-0.09590295
14.1968384	-0.0964158
15.7871246	-0.09661305
16.4933472	-0.09679058
19.9472809	-0.09740205
20.0409241	-0.0974415
20.289978	-0.09754013
20.5361633	-0.09793463
20.4585571	-0.09797408
20.1529236	-0.09809243
18.7945709	-0.09842775
17.6151581	-0.09864473
15.0231476	-0.09911813
9.9083099	-0.09953235
9.3598175	-0.09961125
8.2664337	-0.09976905
7.0355225	-0.0998874
