Time (s) intensità_laser_sole	Light Intensity (% of scale max) intensità_laser_sole
54.48	35.27679
54.52	35.28023
54.56	35.27856
54.6	35.2748
54.64	35.27518
54.68	35.28125
54.72	35.2803
54.76	35.2838
54.8	35.27983
54.84	35.28108
54.88	35.27792
54.92	35.27995
54.96	35.28419
55.0	35.28264
55.04	35.28238
55.08	35.2771
55.12	35.27657
55.16	35.27692
55.2	35.27936
55.24	35.27994
55.28	35.28113
55.32	35.27313
55.36	35.27446
55.4	35.27713
55.44	35.2789
55.48	35.27583
55.52	35.27394
55.56	35.27443
55.6	35.27812
55.64	35.2782
55.68	35.27463
55.72	35.27663
55.76	35.27477
55.8	35.2774
55.84	35.27492
55.88	35.27956
55.92	35.27498
55.96	35.27463
56.0	35.27483
56.04	35.27829
56.08	35.27997
56.12	35.27959
56.16	35.27568
56.2	35.27596
56.24	35.27855
56.28	35.28009
56.32	35.27548
56.36	35.2747
56.4	35.27379
56.44	35.28067
56.48	35.27434
56.52	35.27605
56.56	35.27676
56.6	35.27835
56.64	35.27417
56.68	35.27542
56.72	35.27539
56.76	35.27835
56.8	35.27159
56.84	35.27571
56.88	35.27589
56.92	35.27866
56.96	35.27785
57.0	35.27521
57.04	35.27336
57.08	35.2738
57.12	35.2733
57.16	35.27696
57.2	35.27623
57.24	35.2747
57.28	35.27359
57.32	35.27597
57.36	35.27876
57.4	35.27864
57.44	35.27362
57.48	35.27406
57.52	35.27571
57.56	35.27817
57.6	35.27998
57.64	35.27621
57.68	35.27708
57.72	35.27266
57.76	35.27602
57.8	35.27933
57.84	35.27496
57.88	35.27682
57.92	35.27312
57.96	35.27271
58.0	35.27454
58.04	35.27789
58.08	35.27374
58.12	35.27321
58.16	35.27519
58.2	35.27774
58.24	35.27577
58.28	35.2785
58.32	35.27214
58.36	35.2718
58.4	35.27148
58.44	35.27637
58.48	35.27339
58.52	35.27022
58.56	35.27155
58.6	35.27187
58.64	35.27383
58.68	35.27425
58.72	35.27272
58.76	35.26801
58.8	35.27278
58.84	35.27223
58.88	35.26289
58.92	35.2688
58.96	35.2686
59.0	35.27361
59.04	35.27029
59.08	35.26819
59.12	35.2692
59.16	35.27341
59.2	35.27019
59.24	35.26999
59.28	35.26967
59.32	35.27347
